Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Chelsea,21/22,QF,2,10,10,930,10.3,10,0.97,23,13,60.9,7,1,2,5,50,1,1,0,0,2,13,4,0,0,2,0,7.3,0.2,3.3,0.25,48,115,41.7,315,53,24.4,25.1,158,7,4.4,5,0.38,8,24,10.3,168,95,59,71,38,141,48.9,72,111,19,92,84,252,94,5,15.339805825242717,16.310679611650485,8.155339805825243,24.466019417475728,5.7281553398058245,3.6893203883495143,Overperformed,0.5654761904761905
Benfica,21/22,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,10,156,84,103,47,6,186,44.1,104,104,31,73,107,263,215,1,NA,NA,NA,NA,NA,NA,NA,0.5384615384615384
Atlético Madrid,21/22,QF,1,10,10,900,10,10,1,36,26,77.8,3,3,4,3,30,2,2,0,0,1,8,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,93,3,3.2,4,0.5,14.3,22,10,176,107,93,67,16,218,42.2,126,86,27,59,110,286,180,1,9.3,17.6,11,28.6,9.3,1.6,Underperformed,0.6079545454545454
Ajax,21/22,R16,2,8,8,720,8,8,1,22,15,72.7,6,1,1,2,25,2,2,0,0,1,6,7,1,0,0,1,8.4,0.27,2.4,0.41000000000000003,22,77,28.6,283,34,25.4,29.3,64,2,3.1,5,0.8300000000000001,15.9,21,8,145,95,49,69,27,133,41.4,78,94,18,76,63,208,102,3,8,18.125,7.875,26,6.125,3.375,Overperformed,0.6551724137931034
Juventus,21/22,R16,2,8,8,720,8,10,1.25,24,15,66.7,5,1,2,4,50,2,2,0,0,2,8.3,8,2,1,0,0,10.4,0.25,2.4,0.29000000000000004,10,21,47.6,146,31,9.6,22.2,67,3,4.5,10,1.2,17.2,28,8,141,84,74,42,25,117,43.6,66,86,29,57,93,234,117,2,8.375,17.625,11.625,29.25,9.25,3.125,Overperformed,0.5957446808510638
Paris S-G,21/22,R16,2,8,8,720,8,11,1.37,41,29,75.6,4,2,2,2,25,2,1,1,0,1,12,15,3,1,2,0,18.7,0.22,3.7,0.31,47,140,33.6,334,62,32.3,32.7,181,5,2.8,8,0.6699999999999999,12.5,21,8,126,63,78,35,13,137,41.6,80,102,35,67,55,181,166,5,22.625,15.75,6.875,22.625,9.75,1.625,Overperformed,0.5
Inter,21/22,R16,1,8,8,720,8,7,0.8700000000000001,19,12,63.2,4,1,3,3,37.5,0,0,0,0,1,6,9,2,0,1,1,6.8,0.21000000000000002,-1.2,-0.2,14,29,48.3,151,21,18.5,26.8,48,1,2.1,10,1.6700000000000002,20.5,22,8,135,76,54,55,26,125,44.8,69,81,26,55,84,219,105,0,6,16.875,10.5,27.375,6.75,3.25,Underperformed,0.562962962962963
Manchester Utd,21/22,R16,3,8,8,720,8,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,2,6,10,0,1,1,1,7.8,0.33999999999999997,-1.2,-0.19,24,51,47.1,95,21,35.8,32.4,70,2,2.9,4,0.6699999999999999,14.5,31,8,131,74,54,58,19,120,52.5,57,87,26,61,85,216,124,7,8.75,16.375,10.625,27,6.75,2.375,Underperformed,0.5648854961832062
Lille,21/22,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,8,149,86,80,51,18,154,55.8,68,97,20,77,57,206,127,3,NA,NA,NA,NA,NA,NA,NA,0.5771812080536913
RB Salzburg,21/22,R16,1,8,8,720,8,14,1.75,30,16,63.3,3,2,3,1,12.5,3,3,0,0,1,6,17,2,0,3,1,12.4,0.32999999999999996,-3.6,-0.6,11,36,30.6,94,19,34,32.1,67,3,4.5,3,0.5,13.4,21,8,175,94,82,68,25,225,43.6,127,100,26,74,96,271,125,1,8.375,21.875,12,33.875,10.25,3.125,Underperformed,0.5371428571428571
Sporting CP,21/22,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8,134,72,64,57,13,173,37,109,87,26,61,115,249,133,3,NA,NA,NA,NA,NA,NA,NA,0.5373134328358209
Dortmund,21/22,GR,1,6,6,540,6,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,2,10,13,3,0,2,1,14.9,0.3,2.9,0.29000000000000004,27,96,28.1,250,39,30.4,32.5,150,7,4.7,3,0.3,9.3,23,6,108,66,51,45,12,119,44.5,66,76,14,62,61,169,84,1,25,18,10.166666666666666,28.166666666666668,8.5,2,Overperformed,0.6111111111111112
RB Leipzig,21/22,GR,2,6,6,540,6,14,2.3299999999999996,27,14,55.6,2,1,3,1,16.7,3,2,0,1,1,8,16,3,1,1,1,16.7,0.35,1.7,0.22,26,75,34.7,261,43,25.7,30.4,81,5,6.2,14,1.75,18.6,23,6,100,52,44,36,20,126,34.9,82,78,21,57,70,170,81,1,13.5,16.666666666666668,11.666666666666666,28.333333333333332,7.333333333333333,3.3333333333333335,Overperformed,0.52
Sheriff Tiraspol,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,6,106,58,70,27,9,131,42,76,92,38,54,67,173,163,0,NA,NA,NA,NA,NA,NA,NA,0.5471698113207547
Barcelona,21/22,GR,1,6,6,540,6,9,1.5,25,16,68,2,1,3,3,50,1,1,0,0,2,8,10,4,0,0,0,12.8,0.32,2.8,0.35,15,32,46.9,168,29,12.5,23.3,67,0,0,9,1.1300000000000001,20.7,23,6,101,61,37,46,18,116,44.8,64,47,11,36,63,164,55,1,11.166666666666666,16.833333333333332,10.5,27.333333333333332,6.166666666666667,3,Overperformed,0.6039603960396039
Sevilla,21/22,GR,1,6,6,540,6,5,0.8300000000000001,19,14,84.2,1,3,2,2,33.3,4,2,0,2,3,8,13,4,1,0,0,12.1,0.24000000000000002,-0.9,-0.11,28,64,43.8,183,26,24,25.5,80,3,3.8,9,1.1300000000000001,14,22,6,73,42,39,23,11,101,40.6,60,65,19,46,64,137,70,3,13.333333333333334,12.166666666666666,10.666666666666666,22.833333333333332,6.5,1.8333333333333333,Underperformed,0.5753424657534246
Atalanta,21/22,GR,1,6,6,540,6,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,2,8,12,2,0,1,0,10.9,0.24000000000000002,-1.1,-0.14,51,95,53.7,150,31,39.3,28.3,81,5,6.2,8,1,16.8,21,6,115,66,57,33,25,102,58.8,42,65,18,47,74,189,88,4,13.5,19.166666666666668,12.333333333333334,31.5,9.5,4.166666666666667,Underperformed,0.5739130434782609
Zenit,21/22,GR,2,6,6,540,6,10,1.6700000000000002,26,16,65.4,1,2,3,1,16.7,1,1,0,0,1,6,13,3,0,1,0,12.7,0.35,-0.3,-0.05,25,60,41.7,151,43,29.8,32.6,90,4,4.4,2,0.32999999999999996,10.6,21,6,83,46,51,24,8,93,39.8,56,60,13,47,56,139,123,3,15,13.833333333333334,9.333333333333334,23.166666666666668,8.5,1.3333333333333333,Underperformed,0.5542168674698795
Young Boys,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6,115,63,69,36,10,123,52,59,50,12,38,87,202,73,1,NA,NA,NA,NA,NA,NA,NA,0.5478260869565217
Wolfsburg,21/22,GR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,107,61,56,39,12,121,48.8,62,72,19,53,64,171,133,3,NA,NA,NA,NA,NA,NA,NA,0.5700934579439252
Porto,21/22,GR,1,6,6,540,6,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,2,10.3,9,1,1,1,0,13,0.31,4,0.39,69,247,27.9,366,44,57.9,40.5,191,5,2.6,8,0.77,5,22,6,108,67,53,39,16,124,37.9,77,72,16,56,53,161,106,4,31.833333333333332,18,8.833333333333334,26.833333333333332,8.833333333333334,2.6666666666666665,Overperformed,0.6203703703703703
