Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Shakhtar,20/21,GR,2,6,6,540,6,12,2,37,26,70.3,2,2,2,3,50,1,1,0,0,2,6,12,1,1,2,1,11.3,0.28,0.3,0.05,26,100,26,181,29,34.8,26.4,124,2,1.6,2,0.32999999999999996,14,23,6,63,39,41,15,7,105,38.1,65,72,17,55,81,144,148,3,20.666666666666668,10.5,13.5,24,6.833333333333333,1.1666666666666667,Overperformed,0.6190476190476191
Ajax,20/21,GR,1,6,6,540,6,7,1.1700000000000002,28,22,78.6,2,1,3,0,0,1,1,0,0,1,6,7,1,0,0,1,8.4,0.27,2.4,0.41000000000000003,22,77,28.6,283,34,25.4,29.3,64,2,3.1,5,0.8300000000000001,15.9,21,6,107,57,47,40,20,96,41.7,56,75,17,58,75,182,110,7,10.666666666666666,17.833333333333332,12.5,30.333333333333332,7.833333333333333,3.3333333333333335,Overperformed,0.5327102803738317
Inter,20/21,GR,1,6,6,540,6,9,1.5,23,15,69.6,1,3,2,2,33.3,2,2,0,0,1,6,9,2,0,1,1,6.8,0.21000000000000002,-1.2,-0.2,14,29,48.3,151,21,18.5,26.8,48,1,2.1,10,1.6700000000000002,20.5,21,6,82,48,26,41,15,93,26.9,68,56,12,44,78,160,60,2,8,13.666666666666666,13,26.666666666666668,4.333333333333333,2.5,Underperformed,0.5853658536585366
Krasnodar,20/21,GR,2,6,6,540,6,11,1.83,43,32,81.4,1,2,3,1,16.7,4,3,0,1,2,6,11,3,0,1,0,10.3,0.17,-0.7,-0.12000000000000001,46,116,39.7,147,31,55.8,41.6,107,4,3.7,2,0.32999999999999996,13.5,23,6,72,36,32,28,12,97,33,65,74,27,47,82,154,132,3,17.833333333333332,12,13.666666666666666,25.666666666666668,5.333333333333333,2,Underperformed,0.5
RB Salzburg,20/21,GR,1,6,6,540,6,17,2.8299999999999996,32,16,53.1,1,1,4,0,0,2,2,0,0,1,6,17,2,0,3,1,12.4,0.32999999999999996,-3.6,-0.6,11,36,30.6,94,19,34,32.1,67,3,4.5,3,0.5,13.4,19,6,117,62,52,53,12,134,37.3,84,86,17,69,97,214,121,1,11.166666666666666,19.5,16.166666666666668,35.666666666666664,8.666666666666666,2,Underperformed,0.5299145299145299
Dynamo Kyiv,20/21,GR,3,6,6,540,6,13,2.17,40,27,72.5,1,1,4,1,16.7,2,2,0,0,3,6,13,2,0,2,0,16,0.38,3,0.51,26,58,44.8,147,26,27.2,28.1,81,2,2.5,1,0.17,8.5,22,6,87,48,44,35,8,112,33,75,73,16,57,102,189,139,3,13.5,14.5,17,31.5,7.333333333333333,1.3333333333333333,Overperformed,0.5517241379310345
Loko Moscow,20/21,GR,1,6,6,540,6,10,1.6700000000000002,35,25,71.4,0,3,3,1,16.7,0,0,0,0,1,6,10,0,0,3,0,9.4,0.27,-0.6,-0.11,50,107,46.7,177,29,41.8,35.2,143,10,7,5,0.8300000000000001,12.6,22,6,89,47,65,15,9,124,40.3,74,73,30,43,100,189,202,2,23.833333333333332,14.833333333333334,16.666666666666668,31.5,10.833333333333334,1.5,Underperformed,0.5280898876404494
Olympiacos,20/21,GR,1,6,6,540,6,10,1.6700000000000002,34,24,79.4,1,0,5,1,16.7,3,3,0,0,1,6,10,3,0,0,0,11.1,0.24000000000000002,1.1,0.18,28,80,35,161,39,32.9,32.2,68,6,8.8,0,0,9.4,21,6,88,40,36,46,6,91,35.2,59,45,15,30,83,171,103,3,11.333333333333334,14.666666666666666,13.833333333333334,28.5,6,1,Overperformed,0.45454545454545453
Başakşehir,20/21,GR,1,6,6,540,6,18,3,36,18,55.6,1,0,5,0,0,2,2,0,0,1,6,18,2,0,2,0,12.1,0.28,-5.9,-0.98,37,92,40.2,141,29,48.9,39.4,71,3,4.2,12,2,15.5,21,6,72,34,36,29,7,114,35.1,74,91,32,59,78,150,103,2,11.833333333333334,12,13,25,6,1.1666666666666667,Underperformed,0.4722222222222222
Marseille,20/21,GR,1,6,6,540,6,13,2.17,25,13,56,1,0,5,0,0,2,2,0,0,1,6,13,2,0,2,1,10.4,0.36,-1.6,-0.27,26,95,27.4,209,18,36.8,31.7,50,1,2,5,0.8300000000000001,16.2,20,6,86,60,48,29,9,90,41.1,53,52,10,42,89,175,65,3,8.333333333333334,14.333333333333334,14.833333333333334,29.166666666666668,8,1.5,Underperformed,0.6976744186046512
Midtjylland,20/21,GR,2,6,6,540,6,13,2.17,36,23,66.7,0,2,4,0,0,1,1,0,0,2,6,13,1,0,0,0,12.2,0.32999999999999996,-0.8,-0.13,54,149,36.2,245,23,45.3,38.9,68,1,1.5,4,0.6699999999999999,11.2,22,6,94,61,48,35,11,91,36.3,58,69,12,57,110,204,102,3,11.333333333333334,15.666666666666666,18.333333333333332,34,8,1.8333333333333333,Underperformed,0.648936170212766
Rennes,20/21,GR,2,6,6,540,6,11,1.83,29,18,69,0,1,5,0,0,2,2,0,0,2,6,11,2,0,0,0,11.3,0.32,0.3,0.04,30,83,36.1,154,26,35.7,35,80,1,1.3,8,1.33,18.3,26,6,74,46,35,28,11,89,36,57,49,13,36,65,139,91,1,13.333333333333334,12.333333333333334,10.833333333333334,23.166666666666668,5.833333333333333,1.8333333333333333,Overperformed,0.6216216216216216
Zenit,20/21,GR,1,6,6,540,6,13,2.17,28,15,64.3,0,1,5,0,0,3,3,0,0,1,6,13,3,0,1,0,12.7,0.35,-0.3,-0.05,25,60,41.7,151,43,29.8,32.6,90,4,4.4,2,0.32999999999999996,10.6,21,6,95,57,56,28,11,128,35.2,83,67,18,49,93,188,101,1,15,15.833333333333334,15.5,31.333333333333332,9.333333333333334,1.8333333333333333,Underperformed,0.6
Ferencváros,20/21,GR,1,6,6,540,6,17,2.8299999999999996,36,20,61.1,0,1,5,0,0,3,3,0,0,1,6,17,3,0,0,1,14.2,0.31,-1.8,-0.3,39,76,51.3,202,33,29.7,31,48,0,0,4,0.6699999999999999,15.1,20,6,83,47,50,21,12,90,37.8,56,61,19,42,96,179,73,5,8,13.833333333333334,16,29.833333333333332,8.333333333333334,2,Underperformed,0.5662650602409639
Bayern Munich,19/20,W,1,11,11,990,11,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,1,11,8,1,0,0,1,9,0.25,2,0.19,37,77,48.1,428,58,17.3,27.5,90,2,2.2,31,2.82,23.6,20,11,189,122,60,93,36,226,40.7,134,94,14,80,109,298,110,6,8.181818181818182,17.181818181818183,9.909090909090908,27.09090909090909,5.454545454545454,3.272727272727273,Overperformed,0.6455026455026455
Paris S-G,19/20,F,2,11,11,990,11,6,0.55,29,22,79.3,8,1,2,7,63.6,1,0,1,0,2,11,6,0,0,0,0,9.7,0.3,3.7,0.33999999999999997,32,105,30.5,246,50,29.7,23.7,133,4,3,3,0.27,8,24,11,194,111,100,72,22,196,41.8,114,122,36,86,121,315,188,1,12.090909090909092,17.636363636363637,11,28.636363636363637,9.090909090909092,2,Overperformed,0.5721649484536082
RB Leipzig,19/20,SF,2,10,10,900,10,12,1.2,46,34,76.1,6,2,2,3,30,1,1,0,0,2,10,12,1,0,0,0,15.3,0.31,3.3,0.32999999999999996,43,105,41,306,51,28.4,23,130,7,5.4,15,1.5,5,25,10,197,115,99,80,18,215,40,129,98,19,79,99,296,186,4,13,19.7,9.9,29.6,9.9,1.8,Overperformed,0.583756345177665
Lyon,19/20,SF,1,10,10,900,10,14,1.4,38,24,71.1,4,2,4,2,20,3,3,0,0,1,10,14,3,0,1,0,12.4,0.27,-1.6,-0.16,47,133,35.3,240,56,37.9,34.4,173,11,6.4,4,0.4,12.1,24,10,139,82,66,55,18,139,40.3,83,123,38,85,110,249,237,3,17.3,13.9,11,24.9,6.6,1.8,Underperformed,0.5899280575539568
Manchester City,19/20,QF,3,9,9,803,9,9,1.01,27,18,70.4,6,2,1,2,22.2,1,1,0,0,3,9,9,1,0,0,0,8.9,0.3,-0.1,-0.01,39,89,43.8,268,37,27.6,25.8,60,4,6.7,23,2.58,17.3,23,9,144,83,59,60,25,181,44.8,100,59,16,43,110,254,91,5,6.666666666666667,16,12.222222222222221,28.22222222222222,6.555555555555555,2.7777777777777777,Underperformed,0.5763888888888888
Barcelona,19/20,QF,2,9,9,810,9,14,1.56,48,33,72.9,5,3,1,2,22.2,2,1,1,0,2,9,14,1,0,0,0,17.3,0.35,3.3,0.37,26,67,38.8,262,53,20.6,31.2,103,3,2.9,4,0.44,10.5,24,9,118,75,49,51,18,147,38.8,90,93,34,59,108,226,140,7,11.444444444444445,13.11111111111111,12,25.11111111111111,5.444444444444445,2,Overperformed,0.635593220338983
Atlético Madrid,19/20,QF,1,9,9,840,9.3,9,0.96,30,22,70,5,1,3,4,44.4,0,0,0,0,1,9.3,9,0,1,0,1,8.5,0.29000000000000004,0.5,0.05,66,159,41.5,155,30,58.7,40.4,164,3,1.8,3,0.32,11.3,21,9.3,150,82,85,41,24,167,37.7,104,80,27,53,101,251,234,4,17.634408602150536,16.129032258064516,10.86021505376344,26.989247311827956,9.139784946236558,2.5806451612903225,Overperformed,0.5466666666666666
Atalanta,19/20,QF,2,9,9,810,9,18,2,46,28,63,4,1,4,2,22.2,2,1,0,1,2,9,18,1,0,0,0,20.5,0.43000000000000005,2.5,0.27,40,106,37.7,167,28,35.9,34.8,98,3,3.1,9,1,15.3,23,9,161,87,78,75,8,213,42.7,122,86,23,63,106,267,166,3,10.88888888888889,17.88888888888889,11.777777777777779,29.666666666666668,8.666666666666666,0.8888888888888888,Overperformed,0.5403726708074534
Juventus,19/20,R16,2,8,8,720,8,6,0.75,23,17,78.3,6,1,1,3,37.5,1,1,0,0,2,8,6,1,0,1,0,7.7,0.3,1.7,0.21000000000000002,19,34,55.9,172,48,11.6,25.8,105,4,3.8,7,0.88,15.2,23,8,110,67,52,42,16,110,35.5,71,68,24,44,86,196,146,3,13.125,13.75,10.75,24.5,6.5,2,Overperformed,0.6090909090909091
Napoli,19/20,R16,2,8,8,720,8,8,1,25,17,80,3,4,1,3,37.5,3,3,0,0,2,8,8,3,0,3,0,8.7,0.23,0.7,0.09,38,74,51.4,167,21,22.2,28.4,122,6,4.9,4,0.5,10.7,24,8,134,90,78,38,18,175,41.7,102,98,27,71,96,230,165,5,15.25,16.75,12,28.75,9.75,2.25,Overperformed,0.6716417910447762
Liverpool,19/20,R16,2,8,8,750,8.3,12,1.44,33,21,66.7,4,1,3,1,12.5,1,1,0,0,2,8.3,12,1,0,2,0,12.4,0.35,0.4,0.05,31,58,53.4,229,43,21.8,25.9,66,4,6.1,19,2.2800000000000002,20.6,20,8.3,146,94,60,66,20,122,50,61,64,6,58,76,222,82,3,7.951807228915662,17.59036144578313,9.156626506024095,26.746987951807228,7.228915662650602,2.4096385542168672,Overperformed,0.6438356164383562
Dortmund,19/20,R16,1,8,8,720,8,11,1.37,37,25,70.3,4,1,3,2,25,1,0,1,0,1,8,11,0,0,1,0,14.7,0.37,3.7,0.46,15,79,19,197,41,31.5,34,77,4,5.2,9,1.1300000000000001,16,24,8,135,77,76,43,16,153,40.5,91,73,19,54,98,233,125,3,9.625,16.875,12.25,29.125,9.5,2,Overperformed,0.5703703703703704
Real Madrid,19/20,R16,2,8,8,720,8,12,1.5,34,22,67.6,3,2,3,2,25,1,1,0,0,2,8,12,1,0,0,0,13.5,0.37,1.5,0.18,21,61,34.4,233,46,20.6,26.8,81,5,6.2,11,1.3800000000000001,14,25,8,123,78,59,46,18,131,35.1,85,72,27,45,92,215,110,7,10.125,15.375,11.5,26.875,7.375,2.25,Overperformed,0.6341463414634146
Valencia,19/20,R16,2,8,8,720,8,15,1.87,39,24,66.7,3,2,3,2,25,3,2,0,1,2,8,15,2,0,1,0,15.8,0.36,0.8,0.1,56,157,35.7,194,33,50,36.4,151,2,1.3,5,0.63,16.2,23,8,123,74,56,60,7,148,37.8,92,92,32,60,92,215,185,2,18.875,15.375,11.5,26.875,7,0.875,Overperformed,0.6016260162601627
Chelsea,19/20,R16,2,8,8,720,8,16,2,33,18,54.5,3,2,3,1,12.5,2,1,1,0,2,8,16,1,0,1,2,13.6,0.35,-0.4,-0.05,43,87,49.4,187,38,28.3,31.5,93,5,5.4,11,1.3800000000000001,17.2,22,8,119,62,56,49,14,125,40,75,74,13,61,75,194,143,6,11.625,14.875,9.375,24.25,7,1.75,Underperformed,0.5210084033613446
Tottenham,19/20,R16,2,8,8,720,8,18,2.25,47,29,66,3,1,4,2,25,2,2,0,0,2,8,18,2,0,1,0,16.4,0.31,-1.6,-0.2,34,88,38.6,151,31,35.8,33.4,103,2,1.9,3,0.38,8.4,28,8,122,74,53,55,14,147,40.1,88,82,30,52,68,190,152,3,12.875,15.25,8.5,23.75,6.625,1.75,Underperformed,0.6065573770491803
Ajax,19/20,GR,1,6,6,540,6,6,1,30,24,86.7,3,1,2,3,50,3,2,0,1,1,6,6,2,0,1,0,11,0.31,5,0.8400000000000001,26,102,25.5,176,28,43.2,35.6,62,4,6.5,7,1.1700000000000002,13.9,19,6,146,74,53,63,30,143,42,83,48,18,30,85,231,92,4,10.333333333333334,24.333333333333332,14.166666666666666,38.5,8.833333333333334,5,Overperformed,0.5068493150684932
RB Salzburg,19/20,GR,2,6,6,540,6,13,2.17,29,16,55.2,2,1,3,0,0,0,0,0,0,2,6,13,0,0,0,0,9,0.32999999999999996,-4,-0.6699999999999999,19,68,27.9,95,21,34.7,30.7,86,5,5.8,5,0.8300000000000001,18.8,21,6,127,75,67,46,14,170,38.8,104,70,23,47,63,190,134,4,14.333333333333334,21.166666666666668,10.5,31.666666666666668,11.166666666666666,2.3333333333333335,Underperformed,0.5905511811023622
Inter,19/20,GR,1,6,6,540,6,9,1.5,30,21,73.3,2,1,3,1,16.7,1,1,0,0,1,6,9,1,0,0,0,9.8,0.31,0.8,0.14,24,48,50,178,36,16.9,26.7,59,2,3.4,3,0.5,11.2,20,6,114,54,60,46,8,113,38.9,69,76,20,56,89,203,105,2,9.833333333333334,19,14.833333333333334,33.833333333333336,10,1.3333333333333333,Overperformed,0.47368421052631576
Benfica,19/20,GR,1,6,6,540,6,11,1.83,28,18,64.3,2,1,3,1,16.7,1,1,0,0,1,6,11,1,0,1,1,9.6,0.31,-0.4,-0.07,16,47,34,130,35,22.3,28.6,93,2,2.2,10,1.6700000000000002,14.7,23,6,119,70,60,46,13,149,40.3,89,64,23,41,60,179,138,1,15.5,19.833333333333332,10,29.833333333333332,10,2.1666666666666665,Underperformed,0.5882352941176471
Zenit,19/20,GR,2,6,6,540,6,9,1.5,38,30,81.6,2,1,3,1,16.7,2,2,0,0,2,6,9,2,0,0,1,9.7,0.2,1.7,0.28,55,105,52.4,157,35,50.3,38.8,140,4,2.9,2,0.32999999999999996,13.7,19,6,106,68,63,34,9,124,32.3,84,68,26,42,95,201,156,0,23.333333333333332,17.666666666666668,15.833333333333334,33.5,10.5,1.5,Overperformed,0.6415094339622641
Leverkusen,19/20,GR,1,6,6,540,6,9,1.5,28,19,67.9,2,0,4,1,16.7,0,0,0,0,1,6,9,0,0,0,0,8.4,0.3,-0.6,-0.09,39,103,37.9,233,26,38.2,35.6,49,3,6.1,9,1.5,17.9,20,6,105,67,55,44,6,108,38.9,66,55,8,47,62,167,87,8,8.166666666666666,17.5,10.333333333333334,27.833333333333332,9.166666666666666,1,Underperformed,0.638095238095238
Shakhtar,19/20,GR,1,6,6,540,6,13,2.17,33,19,63.6,1,3,2,0,0,2,1,1,0,1,6,13,1,0,0,0,14.1,0.39,1.1,0.18,27,70,38.6,194,52,27.3,32.5,78,4,5.1,3,0.5,12.5,18,6,91,52,55,29,7,114,34.2,75,54,17,37,64,155,120,6,13,15.166666666666666,10.666666666666666,25.833333333333332,9.166666666666666,1.1666666666666667,Overperformed,0.5714285714285714
Dinamo Zagreb,19/20,GR,1,6,6,540,6,13,2.17,35,22,68.6,1,2,3,1,16.7,2,2,0,0,1,6,13,2,0,1,0,16.6,0.42000000000000004,3.6,0.6,48,140,34.3,120,20,68.3,45.5,84,2,2.4,3,0.5,9.5,21,6,107,60,56,43,8,98,35.7,63,63,18,45,69,176,136,3,14,17.833333333333332,11.5,29.333333333333332,9.333333333333334,1.3333333333333333,Overperformed,0.5607476635514018
Olympiacos,19/20,GR,1,6,6,540,6,14,2.3299999999999996,35,21,62.9,1,1,4,1,16.7,2,1,0,1,1,6,14,1,0,3,0,12.3,0.32999999999999996,-1.7,-0.28,25,110,22.7,165,38,46.7,38.5,97,7,7.2,1,0.17,9.8,17,6,99,61,57,35,7,110,50.9,54,50,24,26,57,156,127,5,16.166666666666668,16.5,9.5,26,9.5,1.1666666666666667,Underperformed,0.6161616161616161
Loko Moscow,19/20,GR,2,6,6,540,6,11,1.83,42,32,76.2,1,0,5,0,0,2,1,1,0,2,6,11,1,0,1,2,10.9,0.22,1.9,0.31,50,120,41.7,119,30,52.1,39.9,125,6,4.8,3,0.5,13.4,20,6,91,49,47,32,12,116,33.6,77,79,33,46,98,189,170,3,20.833333333333332,15.166666666666666,16.333333333333332,31.5,7.833333333333333,2,Overperformed,0.5384615384615384
Club Brugge,19/20,GR,1,6,6,540,6,12,2,26,14,53.8,0,3,3,1,16.7,0,0,0,0,1,6,12,0,0,1,0,10.7,0.42000000000000004,-1.3,-0.21000000000000002,45,99,45.5,137,19,46,36.5,82,3,3.7,7,1.1700000000000002,15.2,22,6,115,74,56,39,20,114,45.6,62,61,15,46,65,180,90,3,13.666666666666666,19.166666666666668,10.833333333333334,30,9.333333333333334,3.3333333333333335,Underperformed,0.6434782608695652
Red Star,19/20,GR,1,6,6,540,6,20,3.3299999999999996,53,33,66,1,0,5,0,0,2,2,0,0,1,6,20,2,0,3,0,18.9,0.32999999999999996,-1.1,-0.18,41,122,33.6,132,23,56.1,40,118,3,2.5,4,0.6699999999999999,10.8,19,6,119,70,65,44,10,166,38,103,68,25,43,74,193,140,7,19.666666666666668,19.833333333333332,12.333333333333334,32.166666666666664,10.833333333333334,1.6666666666666667,Underperformed,0.5882352941176471
Slavia Prague,19/20,GR,1,6,6,540,6,10,1.6700000000000002,35,26,71.4,0,2,4,1,16.7,0,0,0,0,1,6,10,0,0,0,1,10.7,0.31,1.7,0.28,52,108,48.1,218,35,39.4,35.7,29,1,3.4,17,2.8299999999999996,21,20,6,83,46,35,30,18,119,31.1,82,73,14,59,77,160,73,2,4.833333333333333,13.833333333333334,12.833333333333334,26.666666666666668,5.833333333333333,3,Overperformed,0.5542168674698795
Galatasaray,19/20,GR,1,6,6,540,6,14,2.3299999999999996,47,33,74.5,0,2,4,1,16.7,2,2,0,0,1,6,14,2,0,0,0,18,0.33999999999999997,4,0.6699999999999999,63,165,38.2,210,35,56.7,40.5,76,5,6.6,3,0.5,15.1,20,6,91,56,55,32,4,90,40,54,64,17,47,69,160,106,3,12.666666666666666,15.166666666666666,11.5,26.666666666666668,9.166666666666666,0.6666666666666666,Overperformed,0.6153846153846154
Lille,19/20,GR,2,6,6,540,6,14,2.3299999999999996,32,19,59.4,0,1,5,0,0,1,1,0,0,2,6,14,1,0,2,1,12.2,0.36,-0.8,-0.13,24,97,24.7,141,28,47.5,39.8,88,4,4.5,9,1.5,15.6,21,6,106,67,54,39,13,127,30.7,88,69,19,50,84,190,120,4,14.666666666666666,17.666666666666668,14,31.666666666666668,9,2.1666666666666665,Underperformed,0.6320754716981132
Genk,19/20,GR,2,6,6,540,6,20,3.3299999999999996,41,21,56.1,0,1,5,1,16.7,2,2,0,0,2,6,20,2,0,0,0,17.6,0.38,-2.4,-0.4,53,128,41.4,198,23,46,36.9,95,2,2.1,9,1.5,6.5,20,6,101,60,48,41,12,97,44.3,54,75,35,40,67,168,144,4,15.833333333333334,16.833333333333332,11.166666666666666,28,8,2,Underperformed,0.594059405940594
Liverpool,18/19,W,1,13,13,1170,13,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,1,13,12,0,1,2,1,15.1,0.29000000000000004,4.1,0.32,48,125,38.4,361,76,23.3,29.7,127,3,2.4,9,0.69,17.4,20,13,226,133,92,96,38,207,48.8,106,112,20,92,114,340,226,8,9.76923076923077,17.384615384615383,8.76923076923077,26.153846153846153,7.076923076923077,2.923076923076923,Overperformed,0.588495575221239
Tottenham,18/19,F,3,13,13,1167,13,19,1.47,55,35,67.3,6,2,5,4,30.8,2,1,1,0,3,13,19,1,0,4,0,17,0.28,-2,-0.16,70,161,43.5,368,64,29.6,32.3,133,6,4.5,11,0.8500000000000001,13.2,24,13,195,110,85,87,23,179,42.5,103,145,43,102,144,339,239,7,10.23076923076923,15,11.076923076923077,26.076923076923077,6.538461538461538,1.7692307692307692,Underperformed,0.5641025641025641
Barcelona,18/19,SF,2,12,12,1080,12,10,0.8300000000000001,42,32,76.2,8,3,1,6,50,0,0,0,0,2,12,10,0,0,2,0,12.4,0.31,2.4,0.2,57,109,52.3,337,71,21.7,30.6,145,7,4.8,8,0.6699999999999999,11.3,23,12,200,128,82,94,24,166,45.8,90,129,39,90,121,321,198,12,12.083333333333334,16.666666666666668,10.083333333333334,26.75,6.833333333333333,2,Overperformed,0.64
Ajax,18/19,SF,1,12,12,1080,12,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,1,12,13,1,0,2,0,18.1,0.32999999999999996,5.1,0.42000000000000004,40,177,22.6,303,49,41.9,35,142,6,4.2,7,0.58,12.6,22,12,267,156,106,123,38,247,44.1,138,152,32,120,173,440,229,7,11.833333333333334,22.25,14.416666666666666,36.666666666666664,8.833333333333334,3.1666666666666665,Overperformed,0.5842696629213483
Manchester City,18/19,QF,1,10,10,900,10,12,1.2,33,21,72.7,7,1,2,3,30,3,3,0,0,1,10,12,3,0,1,0,10.1,0.24000000000000002,-1.9,-0.19,26,52,50,237,37,14.3,25.9,69,6,8.7,18,1.8,18.4,21,10,132,79,42,67,23,135,31.9,92,93,25,68,116,248,169,8,6.9,13.2,11.6,24.8,4.2,2.3,Underperformed,0.5984848484848485
Porto,18/19,QF,1,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10,5,3,1,1,1,10.3,15,3,0,2,0,13.8,0.26,-1.2,-0.12000000000000001,64,160,40,295,29,38.3,35.3,136,3,2.2,11,1.06,15.7,25,10.3,180,122,99,58,23,145,44.1,81,118,32,86,119,299,225,3,13.20388349514563,17.475728155339805,11.553398058252426,29.02912621359223,9.611650485436893,2.233009708737864,Underperformed,0.6777777777777778
Juventus,18/19,QF,1,10,10,900,10,9,0.9,31,22,74.2,5,1,4,5,50,2,1,1,0,1,10,9,1,1,2,1,9.6,0.25,1.6,0.16,74,134,55.2,213,36,41.3,35.9,113,3,2.7,9,0.9,15.5,22,10,141,88,69,54,18,133,39.8,80,100,31,69,116,257,175,4,11.3,14.1,11.6,25.7,6.9,1.8,Overperformed,0.624113475177305
Manchester Utd,18/19,QF,2,10,10,900,10,11,1.1,34,25,67.6,4,1,5,3,30,0,0,0,0,2,10,11,0,0,1,2,10.6,0.32,1.6,0.16,61,134,45.5,160,36,46.3,38.3,124,4,3.2,2,0.2,10.1,26,10,145,85,71,60,14,139,41.7,81,122,33,89,90,235,219,2,12.4,14.5,9,23.5,7.1,1.4,Overperformed,0.5862068965517241
Atlético Madrid,18/19,R16,1,8,8,720,8,9,1.1300000000000001,19,10,57.9,5,1,2,4,50,2,1,0,1,1,8,9,1,0,0,0,7.8,0.36,-1.2,-0.15000000000000002,37,107,34.6,102,9,50,38,110,0,0,0,0,11.8,21,8,121,78,60,46,15,120,43.3,68,72,18,54,110,231,168,3,13.75,15.125,13.75,28.875,7.5,1.875,Underperformed,0.6446280991735537
Bayern Munich,18/19,R16,1,8,8,720,8,8,1,30,22,76.7,4,3,1,4,50,1,1,0,0,1,8,8,1,0,1,0,8.4,0.25,0.4,0.06,43,102,42.2,293,47,28.3,30.1,80,1,1.3,9,1.1300000000000001,17.9,20,8,151,94,69,66,16,137,35.8,88,96,20,76,132,283,131,4,10,18.875,16.5,35.375,8.625,2,Overperformed,0.6225165562913907
Real Madrid,18/19,R16,2,8,8,720,8,10,1.25,37,27,73,5,0,3,3,37.5,0,0,0,0,2,8,10,0,1,0,0,11.3,0.31,1.3,0.16,47,102,46.1,187,46,36.4,38.2,79,3,3.8,10,1.25,16.2,24,8,128,95,67,47,14,134,46.3,72,80,22,58,106,234,106,7,9.875,16,13.25,29.25,8.375,1.75,Overperformed,0.7421875
Paris S-G,18/19,R16,2,8,8,720,8,12,1.5,28,16,71.4,4,2,2,1,12.5,4,4,0,0,2,8,12,4,0,0,0,10.6,0.25,-1.4,-0.18,22,60,36.7,159,27,20.8,29.1,87,2,2.3,1,0.13,10.2,20,8,116,73,55,52,9,90,33.3,60,67,20,47,79,195,155,3,10.875,14.5,9.875,24.375,6.875,1.125,Underperformed,0.6293103448275862
Dortmund,18/19,R16,2,8,8,720,8,6,0.75,22,16,72.7,4,1,3,5,62.5,0,0,0,0,2,8,6,0,0,1,0,7.2,0.32999999999999996,1.2,0.15000000000000002,27,78,34.6,219,41,26.5,33.1,99,1,1,6,0.75,14.6,24,8,152,98,57,77,18,117,45.3,64,88,22,66,101,253,129,3,12.375,19,12.625,31.625,7.125,2.25,Overperformed,0.6447368421052632
Roma,18/19,R16,2,8,8,750,8.3,12,1.44,44,32,75,4,0,4,2,25,1,1,0,0,2,8.3,12,1,1,1,0,15,0.32999999999999996,3,0.36,39,111,35.1,208,52,31.3,25.1,111,5,4.5,6,0.72,19,24,8.3,122,77,58,50,14,115,35.7,74,92,29,63,81,203,168,4,13.373493975903614,14.69879518072289,9.759036144578312,24.457831325301203,6.987951807228915,1.686746987951807,Overperformed,0.6311475409836066
Schalke 04,18/19,R16,2,8,8,720,8,14,1.75,32,17,62.5,3,2,3,4,50,3,2,1,0,2,8,14,2,1,1,0,12.5,0.3,-1.5,-0.19,33,98,33.7,156,31,42.3,37.4,59,2,3.4,3,0.38,13,27,8,170,107,87,72,11,167,40.7,99,100,27,73,108,278,155,4,7.375,21.25,13.5,34.75,10.875,1.375,Underperformed,0.6294117647058823
Lyon,18/19,R16,2,8,8,720,8,16,2,52,36,71.2,1,6,1,1,12.5,1,1,0,0,2,8,16,1,0,1,0,17.7,0.32,1.7,0.21000000000000002,40,119,33.6,177,28,40.7,36.9,101,1,1,9,1.1300000000000001,15.4,21,8,141,79,72,61,8,112,44.6,62,99,34,65,100,241,197,2,12.625,17.625,12.5,30.125,9,1,Overperformed,0.5602836879432624
Napoli,18/19,GR,1,6,6,540,6,5,0.8300000000000001,20,15,75,2,3,1,2,33.3,0,0,0,0,1,6,5,0,0,0,1,6.6,0.32999999999999996,2.6,0.44,30,75,40,173,28,30.1,32.1,67,4,6,10,1.6700000000000002,16,18,6,106,68,48,52,6,109,35.8,70,46,16,30,57,163,134,3,11.166666666666666,17.666666666666668,9.5,27.166666666666668,8,1,Overperformed,0.6415094339622641
