Squad,Year,Rank,# Pl.x,90s.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y,90s.y,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance
Real Madrid,19/20,R16,25,8,254,31.75,195,21,7,15,12,4,28,3.5,25,8,16,138,53,38.4,17.25,6.619999999999999,0.11,0.28,17.8,3,1,1,16.6,15.8,0.12000000000000001,-0.6,-0.8,0.08267716535433071,Underperformed
Valencia,19/20,R16,23,8,181,22.62,127,18,8,12,15,1,19,2.3699999999999997,23,8,12,101,35,34.7,12.62,4.37,0.11,0.31,18.2,5,1,3,14.7,12.3,0.13,-2.7,-1.3,0.09944751381215469,Underperformed
Chelsea,19/20,R16,22,8,228,28.5,158,20,20,20,7,3,21,2.62,22,8,12,124,41,33.1,15.5,5.119999999999999,0.08,0.24000000000000002,16,5,2,3,17.5,15.2,0.13,-5.5,-5.2,0.08771929824561403,Underperformed
Tottenham,19/20,R16,28,8,171,21.38,121,10,11,10,17,2,32,4,28,8,18,96,45,46.9,12,5.63,0.17,0.36,16.8,7,2,2,14.5,13,0.15000000000000002,3.5,3,0.05847953216374269,Overperformed
Ajax,19/20,GR,19,6,145,24.17,113,9,10,4,3,6,20,3.3299999999999996,19,6,10,76,24,31.6,12.67,4,0.13,0.42000000000000004,17.8,3,0,0,7.5,7.5,0.1,2.5,2.5,0.06206896551724138,Overperformed
RB Salzburg,19/20,GR,21,6,162,27,122,13,11,9,3,4,29,4.83,21,6,16,93,35,37.6,15.5,5.83,0.15000000000000002,0.4,17.7,1,2,2,13.7,12.1,0.13,2.3,1.9,0.08024691358024691,Overperformed
Inter,19/20,GR,20,6,131,21.830000000000002,99,10,10,3,7,2,16,2.67,20,6,10,74,28,37.8,12.33,4.67,0.14,0.36,17.8,2,0,1,10,9.3,0.13,0,0.7,0.07633587786259542,Underperformed
Benfica,19/20,GR,23,6,145,24.17,101,16,8,7,10,3,12,2,23,6,9,82,28,34.1,13.67,4.67,0.1,0.29000000000000004,20.8,7,1,1,8.1,7.3,0.09,0.9,0.7,0.1103448275862069,Overperformed
Zenit,19/20,GR,19,6,106,17.67,81,10,6,5,3,1,11,1.83,19,6,6,59,20,33.9,9.83,3.3299999999999996,0.1,0.3,18.5,1,0,0,6.1,6.1,0.11,-0.1,-0.1,0.09433962264150944,Underperformed
Leverkusen,19/20,GR,20,6,143,23.830000000000002,109,11,8,9,5,1,4,0.6699999999999999,20,6,2,82,16,19.5,13.67,2.67,0.02,0.13,19.2,3,0,0,6.7,6.7,0.08,-4.7,-4.7,0.07692307692307693,Underperformed
Shakhtar,19/20,GR,18,6,112,18.67,84,6,9,4,8,1,16,2.67,18,6,8,60,22,36.7,10,3.67,0.12000000000000001,0.32,18.3,3,1,1,8.3,7.5,0.13,-0.3,-0.5,0.05357142857142857,Underperformed
Dinamo Zagreb,19/20,GR,21,6,90,15,66,4,9,3,6,2,18,3,21,6,10,49,18,36.7,8.17,3,0.18,0.5,17.4,3,1,1,7.5,6.8,0.14,2.5,2.2,0.044444444444444446,Overperformed
Olympiacos,19/20,GR,17,6,139,23.17,99,10,20,4,4,2,14,2.3299999999999996,17,6,8,75,20,26.7,12.5,3.3299999999999996,0.08,0.3,20,0,2,2,7.9,6.3,0.08,0.1,-0.3,0.07194244604316546,Overperformed
Loko Moscow,19/20,GR,20,6,89,14.83,67,7,5,8,1,1,3,0.5,20,6,4,55,21,38.2,9.17,3.5,0.07,0.19,19.1,1,0,0,6,6,0.12000000000000001,-2,-2,0.07865168539325842,Underperformed
Club Brugge,19/20,GR,22,6,111,18.5,79,11,5,6,9,1,6,1,22,6,4,61,15,24.6,10.17,2.5,0.07,0.27,16.7,3,0,1,7.4,6.6,0.11,-3.4,-2.6,0.0990990990990991,Underperformed
Red Star,19/20,GR,19,6,92,15.33,62,11,7,5,4,3,5,0.8300000000000001,19,6,3,55,17,30.9,9.17,2.8299999999999996,0.05,0.18,20.1,2,0,1,4,3.2,0.06,-1,-0.2,0.11956521739130435,Underperformed
Slavia Prague,19/20,GR,20,6,147,24.5,105,13,2,8,14,5,7,1.1700000000000002,20,6,4,90,33,36.7,15,5.5,0.03,0.09,19.7,7,1,1,9.4,8.6,0.1,-5.4,-5.6,0.08843537414965986,Underperformed
Galatasaray,19/20,GR,20,6,88,14.67,61,5,8,4,8,2,2,0.32999999999999996,20,6,1,50,9,18,8.33,1.5,0.02,0.11,20.5,4,0,0,4.2,4.2,0.08,-3.2,-3.2,0.056818181818181816,Underperformed
Lille,19/20,GR,21,6,137,22.830000000000002,102,11,8,8,5,3,6,1,21,6,4,85,25,29.4,14.17,4.17,0.05,0.16,18.1,1,0,0,8.8,8.8,0.11,-4.8,-4.8,0.08029197080291971,Underperformed
Genk,19/20,GR,20,6,119,19.830000000000002,79,14,12,5,8,1,8,1.33,20,6,5,67,21,31.3,11.17,3.5,0.07,0.24000000000000002,18.5,2,0,0,6.9,6.9,0.11,-1.9,-1.9,0.11764705882352941,Underperformed
Liverpool,18/19,W,20,13,337,25.919999999999998,251,26,25,20,13,2,44,3.38,20,13,24,186,52,28,14.31,4,0.11,0.38,17,3,4,5,28.3,24.2,0.13,-4.3,-4.2,0.0771513353115727,Underperformed
Tottenham,18/19,F,24,13,360,27.69,242,28,37,30,17,6,36,2.77,24,13,20,201,74,36.8,15.46,5.6899999999999995,0.1,0.27,17.9,9,0,0,20.5,20.5,0.11,-0.5,-0.5,0.07777777777777778,Underperformed
Barcelona,18/19,SF,23,12,360,30,275,14,24,21,20,6,43,3.58,23,12,25,199,77,38.7,16.58,6.42,0.12000000000000001,0.31,18,13,1,1,23.1,22.3,0.11,1.9,1.7,0.03888888888888889,Overperformed
Ajax,18/19,SF,22,12,329,27.419999999999998,246,25,22,15,19,2,40,3.3299999999999996,22,12,22,183,68,37.2,15.25,5.67,0.11,0.29000000000000004,19.4,13,2,2,22.3,20.7,0.12000000000000001,-0.3,-0.7,0.07598784194528875,Underperformed
Manchester City,18/19,QF,21,10,323,32.3,244,21,23,15,16,4,56,5.6,21,10,30,173,64,37,17.3,6.4,0.16,0.42000000000000004,17.4,9,3,4,22.9,19.8,0.12000000000000001,7.1,7.2,0.06501547987616099,Overperformed
Porto,18/19,QF,25,10.3,228,22.06,142,30,15,20,13,8,36,3.48,25,10.3,20,130,48,36.9,12.58,4.6499999999999995,0.12000000000000001,0.32999999999999996,17.6,3,4,5,16.9,13,0.1,3.1,3,0.13157894736842105,Overperformed
Juventus,18/19,QF,22,10,291,29.1,212,25,15,20,18,1,25,2.5,22,10,14,156,40,25.6,15.6,4,0.07,0.28,18.2,9,3,3,18.9,16.7,0.11,-4.9,-5.7,0.0859106529209622,Underperformed
Manchester Utd,18/19,QF,26,10,202,20.2,155,10,13,10,13,1,15,1.5,26,10,9,114,29,25.4,11.4,2.9,0.06,0.24000000000000002,20.2,11,2,2,10.4,8.9,0.08,-1.4,-1.9,0.04950495049504951,Underperformed
Atlético Madrid,18/19,R16,21,8,163,20.37,121,17,6,8,8,3,19,2.3699999999999997,21,8,11,89,30,33.7,11.12,3.75,0.12000000000000001,0.37,18.4,4,0,0,8.1,8.1,0.09,2.9,2.9,0.10429447852760736,Overperformed
Bayern Munich,18/19,R16,20,8,185,23.12,133,18,15,10,5,4,29,3.62,20,8,15,109,44,40.4,13.62,5.5,0.12000000000000001,0.3,16.8,4,2,2,14.7,13.2,0.13,0.3,-0.2,0.0972972972972973,Overperformed
Real Madrid,18/19,R16,24,8,280,35,218,21,18,12,7,4,28,3.5,24,8,15,153,58,37.9,19.130000000000003,7.25,0.1,0.26,17,2,0,0,16.9,16.9,0.11,-1.9,-1.9,0.075,Underperformed
Paris S-G,18/19,R16,20,8,217,27.12,160,12,17,16,10,2,35,4.37,20,8,19,119,57,47.9,14.870000000000001,7.119999999999999,0.16,0.32999999999999996,16.1,11,0,0,16.9,16.9,0.15000000000000002,2.1,2.1,0.055299539170506916,Overperformed
Dortmund,18/19,R16,24,8,173,21.62,138,9,10,8,6,2,18,2.25,24,8,10,93,31,33.3,11.62,3.8699999999999997,0.11,0.32,18.8,2,0,1,12.2,11.5,0.13,-2.2,-1.5,0.05202312138728324,Underperformed
Roma,18/19,R16,24,8.3,224,26.88,145,26,14,19,17,3,23,2.7600000000000002,24,8.3,14,129,53,41.1,15.48,6.359999999999999,0.1,0.25,17.9,6,1,1,15,14.2,0.11,-1,-1.2,0.11607142857142858,Underperformed
Schalke 04,18/19,R16,27,8,124,15.5,77,15,11,9,8,4,12,1.5,27,8,8,80,26,32.5,10,3.25,0.06,0.19,19.1,0,3,3,10.5,8.2,0.11,-2.5,-3.2,0.12096774193548387,Underperformed
Lyon,18/19,R16,21,8,204,25.5,150,10,13,17,10,4,22,2.75,21,8,13,118,42,35.6,14.75,5.25,0.11,0.31,18.2,6,0,0,12.3,12.3,0.11,0.7,0.7,0.049019607843137254,Overperformed
Napoli,18/19,GR,18,6,157,26.17,133,9,7,6,2,0,13,2.17,18,6,7,91,31,34.1,15.17,5.17,0.07,0.19,19.7,2,1,1,10.9,10.1,0.11,-3.9,-4.1,0.05732484076433121,Underperformed
Valencia,18/19,GR,22,6,121,20.17,94,7,9,5,5,1,9,1.5,22,6,5,68,17,25,11.33,2.8299999999999996,0.07,0.29000000000000004,19.5,2,0,1,6.9,6.1,0.09,-1.9,-1.1,0.05785123966942149,Underperformed
Inter,18/19,GR,17,6,162,27,122,13,5,11,6,5,10,1.6700000000000002,17,6,6,91,26,28.6,15.17,4.33,0.07,0.23,17,4,0,0,8.6,8.6,0.1,-2.6,-2.6,0.08024691358024691,Underperformed
CSKA Moscow,18/19,GR,22,6,142,23.67,103,15,12,5,7,0,12,2,22,6,8,75,29,38.7,12.5,4.83,0.08,0.21000000000000002,20.2,1,2,2,6.9,5.3,0.07,1.1,0.7,0.1056338028169014,Overperformed
Benfica,18/19,GR,20,6,132,22,80,15,8,14,9,6,8,1.33,20,6,6,79,30,38,13.17,5,0.08,0.2,18.4,4,0,0,6.2,6.2,0.08,-0.2,-0.2,0.11363636363636363,Underperformed
Viktoria Plzeň,18/19,GR,21,6,106,17.67,85,8,1,7,4,1,13,2.17,21,6,7,64,19,29.7,10.67,3.17,0.11,0.37,18.3,1,0,1,7.8,6.9,0.11,-0.8,0.1,0.07547169811320754,Underperformed
Club Brugge,18/19,GR,25,6,89,14.83,67,9,5,3,4,1,10,1.6700000000000002,25,6,6,48,15,31.3,8,2.5,0.1,0.32999999999999996,18.7,2,1,1,5.4,4.7,0.1,0.6,0.3,0.10112359550561797,Overperformed
Shakhtar,18/19,GR,20,6,129,21.5,108,8,4,3,5,1,15,2.5,20,6,8,69,25,36.2,11.5,4.17,0.12000000000000001,0.32,17.6,3,0,0,6.9,6.9,0.1,1.1,1.1,0.06201550387596899,Overperformed
Galatasaray,18/19,GR,21,6,125,20.830000000000002,89,13,7,4,11,1,10,1.6700000000000002,21,6,5,66,18,27.3,11,3,0.05,0.17,20.2,7,2,3,9.9,7.5,0.11,-4.9,-4.5,0.104,Underperformed
Young Boys,18/19,GR,20,6,122,20.330000000000002,100,6,3,5,5,3,7,1.1700000000000002,20,6,4,71,15,21.1,11.83,2.5,0.03,0.13,19.7,2,2,2,6.5,5,0.07,-2.5,-3,0.04918032786885246,Underperformed
Red Star,18/19,GR,20,6,68,11.33,46,9,4,3,3,3,9,1.5,20,6,5,42,16,38.1,7,2.67,0.12000000000000001,0.31,20,0,0,0,2.9,2.9,0.07,2.1,2.1,0.1323529411764706,Overperformed
Hoffenheim,18/19,GR,25,6,165,27.5,137,6,8,8,5,1,19,3.17,25,6,11,92,31,33.7,15.33,5.17,0.11,0.32,19.3,3,1,1,11.1,10.3,0.11,-0.1,-0.3,0.03636363636363636,Underperformed
Loko Moscow,18/19,GR,19,6,139,23.17,97,15,10,10,5,2,6,1,19,6,3,75,13,17.3,12.5,2.17,0.04,0.23,18.9,2,0,1,6.6,5.8,0.08,-3.6,-2.8,0.1079136690647482,Underperformed
PSV Eindhoven,18/19,GR,18,6,132,22,90,10,5,8,16,3,9,1.5,18,6,6,75,26,34.7,12.5,4.33,0.08,0.23,18.5,5,0,0,7.1,7.1,0.1,-1.1,-1.1,0.07575757575757576,Underperformed
Monaco,18/19,GR,29,6,105,17.5,80,4,6,4,9,2,2,0.32999999999999996,29,6,2,60,19,31.7,10,3.17,0.03,0.11,21.5,3,0,1,5.1,4.3,0.07,-3.1,-2.3,0.0380952380952381,Underperformed
AEK Athens,18/19,GR,20,6,70,11.67,50,7,6,2,3,2,4,0.6699999999999999,20,6,2,39,9,23.1,6.5,1.5,0.05,0.22,17.2,0,0,0,4.7,4.7,0.12000000000000001,-2.7,-2.7,0.1,Underperformed
