Squad,Year,Rank.x,# Pl.x.x,90s.x.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y.x,90s.y.x,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK.x,PK,PKatt.x,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance,Rank.y,# Pl.x.y,Poss,90s.x.y,Touches,Def Pen,Def 3rd.x,Mid 3rd.x,Att 3rd.x,Att Pen,Live,Att.x.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y.y,90s.y.y,Cmp.x,Att.y.x,Cmp%.x,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt.y,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK.y,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp.y,Att.x.y,Cmp%.y,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd.y,Mid 3rd.y,Att 3rd.y,Att.y.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Malmö,21/22,GR,21,6,62,10.33,43,4,5,3,3,4,2,0.32999999999999996,21,6,1,36,7,19.4,6,1.1700000000000002,0.03,0.14,21.3,1,0,0,1.6,1.6,0.05,-0.6,-0.6,0.06451612903225806,Underperformed,GR,21,38,6,2992,442,1201,1369,441,36,2992,71,40,56.3,31,43.7,1900,8357,3417,53,36,8,78,80,1827,128,21,6,1838,2400,76.6,32001,11682,1,1.4,1.3,-0.4,29,100,20,8,131,11.833333333333334,0.40140374331550804,0.4575534759358289,0.14739304812834225,4.833333333333333,1.3333333333333333,21.833333333333332,8.833333333333334,11.833333333333334,200.16666666666666,228.16666666666666,73.5,GR,2,6,6,540,6,14,2.3299999999999996,44,29,77.3,0,1,5,0,0,5,4,1,0,2,6,14,4,0,2,0,16.9,0.28,2.9,0.49,27,96,28.1,110,20,49.1,41.5,89,1,1.1,3,0.5,7.2,21,6,65,41,40,21,4,96,34.4,63,62,18,44,68,133,123,1,14.833333333333334,10.833333333333334,11.333333333333334,22.166666666666668,6.666666666666667,0.6666666666666666,Overperformed,0.6307692307692307
Manchester City,18/19,QF,21,10,323,32.3,244,21,23,15,16,4,56,5.6,21,10,30,173,64,37,17.3,6.4,0.16,0.42000000000000004,17.4,9,3,4,22.9,19.8,0.12000000000000001,7.1,7.2,0.06501547987616099,Overperformed,QF,21,63,10,7814,497,1493,4363,2026,315,7810,191,117,61.3,73,38.2,5677,29227,16288,312,240,88,115,120,5939,576,21,10,5976,6793,88,97477,29647,20,16.8,16.8,3.2,141,416,128,15,582,19.1,0.1910673150755055,0.558356795495265,0.25927821858203226,14.1,1.5,58.2,31.2,19.1,149.3,436.3,202.6,QF,1,10,10,900,10,12,1.2,33,21,72.7,7,1,2,3,30,3,3,0,0,1,10,12,3,0,1,0,10.1,0.24000000000000002,-1.9,-0.19,26,52,50,237,37,14.3,25.9,69,6,8.7,18,1.8,18.4,21,10,132,79,42,67,23,135,31.9,92,93,25,68,116,248,169,8,6.9,13.2,11.6,24.8,4.2,2.3,Underperformed,0.5984848484848485
Manchester City,19/20,QF,23,9,268,29.779999999999998,203,13,25,12,10,5,37,4.109999999999999,23,9,21,143,58,40.6,15.89,6.44,0.13,0.32999999999999996,16.5,7,2,3,25.1,22.7,0.16,-4.1,-3.7,0.048507462686567165,Underperformed,QF,23,62.4,9,7135,440,1426,3663,2104,278,7132,187,128,68.4,59,31.6,5285,25815,14361,270,237,70,108,91,5457,484,23,9,5498,6313,87.1,89852,26242,18,20,19.7,-2,117,452,107,14,486,20.77777777777778,0.19985984583041347,0.5133847231955151,0.2948843728100911,13,1.5555555555555556,54,30,20.77777777777778,158.44444444444446,407,233.77777777777777,QF,3,9,9,803,9,9,1.01,27,18,70.4,6,2,1,2,22.2,1,1,0,0,3,9,9,1,0,0,0,8.9,0.3,-0.1,-0.01,39,89,43.8,268,37,27.6,25.8,60,4,6.7,23,2.58,17.3,23,9,144,83,59,60,25,181,44.8,100,59,16,43,110,254,91,5,6.666666666666667,16,12.222222222222221,28.22222222222222,6.555555555555555,2.7777777777777777,Underperformed,0.5763888888888888
Manchester City,20/21,F,25,13,292,22.459999999999997,221,13,26,16,10,6,43,3.3099999999999996,25,13,24,167,71,42.5,12.850000000000001,5.46,0.13,0.31,17.1,7,2,2,22.5,21,0.13,1.5,1,0.04452054794520548,Overperformed,F,25,60.2,13,10559,567,1913,5962,2764,380,10557,270,162,60,108,40,6689,32817,18288,322,291,92,153,117,8220,694,25,13,8282,9399,88.1,133374,37276,18,16.9,17.5,1.1,125,571,128,11,698,20.76923076923077,0.18117245951321148,0.564636802727531,0.2617672128042428,9.615384615384615,0.8461538461538461,53.69230769230769,24.76923076923077,20.76923076923077,147.15384615384616,458.61538461538464,212.6153846153846,F,2,13,13,1170,13,5,0.38,24,19,79.2,11,1,1,8,61.5,0,0,0,0,2,13,5,0,0,1,0,6.5,0.28,1.5,0.12000000000000001,31,71,43.7,307,58,18.9,21.8,85,4,4.7,19,1.46,NA,25,13,188,99,48,91,49,179,40.8,106,121,26,95,117,305,139,8,6.538461538461538,14.461538461538462,9,23.46153846153846,3.6923076923076925,3.769230769230769,Overperformed,0.526595744680851
Manchester City,21/22,SF,26,12.3,348,28.22,273,19,17,18,16,5,51,4.14,26,12.3,28,190,65,34.2,15.41,5.2700000000000005,0.14,0.4,16.2,10,2,2,26.6,25.1,0.14,1.4,0.9,0.05459770114942529,Overperformed,SF,26,60.1,12.3,9140,613,2049,4437,2720,383,9138,226,135,59.7,91,40.3,6635,33533,18924,338,275,85,157,92,6906,750,26,12.3,6979,8008,87.2,121207,37364,23,20.3,19,2.7,151,667,161,16,757,18.373983739837396,0.22417943107221006,0.4854485776805252,0.2975929978118162,12.276422764227641,1.3008130081300813,61.544715447154466,27.479674796747965,18.373983739837396,166.58536585365852,360.73170731707313,221.1382113821138,SF,3,12,12,1110,12.3,16,1.3,34,19,58.8,7,2,3,4,33.3,2,2,0,0,3,12.3,16,2,0,0,1,12.7,0.31,-2.3,-0.19,33,76,43.4,296,42,19.9,13,88,2,2.3,16,1.3,18,26,12.3,185,99,85,71,29,199,49.7,100,113,20,93,140,325,104,2,7.154471544715447,15.040650406504064,11.38211382113821,26.422764227642276,6.9105691056910565,2.357723577235772,Underperformed,0.5351351351351351
Manchester City,22/23,W,23,13,365,28.08,278,29,20,21,13,4,52,4,23,13,31,196,85,43.4,15.08,6.54,0.15000000000000002,0.33999999999999997,17.2,4,2,5,26.5,22.6,0.12000000000000001,4.5,6.4,0.07945205479452055,Overperformed,W,23,59.8,13,9902,650,2217,4861,2903,371,9897,256,151,59,68,26.6,6338,33355,18299,332,263,95,135,98,7628,634,23,13,7695,8736,88.1,133458,36726,23,17.8,17,5.2,164,648,128,30,644,19.692307692307693,0.22389416279539487,0.49091092708543727,0.2931730963441729,12.615384615384615,2.3076923076923075,49.53846153846154,25.53846153846154,19.692307692307693,170.53846153846155,373.9230769230769,223.30769230769232,W,2,13,13,1170,13,5,0.38,37,32,89.2,8,5,0,8,61.5,1,1,0,0,2,13,5,1,0,3,0,7.6,0.19,2.6,0.2,48,101,47.5,340,51,22.6,29.6,93,5,5.4,14,1.08,16.2,23,13,185,112,68,80,37,177,49.7,89,104,24,80,84,269,126,3,7.153846153846154,14.23076923076923,6.461538461538462,20.692307692307693,5.230769230769231,2.8461538461538463,Overperformed,0.6054054054054054
Manchester Utd,18/19,QF,26,10,202,20.2,155,10,13,10,13,1,15,1.5,26,10,9,114,29,25.4,11.4,2.9,0.06,0.24000000000000002,20.2,11,2,2,10.4,8.9,0.08,-1.4,-1.9,0.04950495049504951,Underperformed,QF,26,45.6,10,6044,563,1587,3050,1456,177,6042,145,84,57.9,61,42.1,3230,17230,9405,205,155,58,131,120,4112,394,26,10,4134,5034,82.1,68833,24174,5,6.2,6.3,-1.2,84,306,78,20,397,14.5,0.2625744540039709,0.5046326935804103,0.24090006618133686,8.4,2,39.7,20.5,14.5,158.7,305,145.6,QF,2,10,10,900,10,11,1.1,34,25,67.6,4,1,5,3,30,0,0,0,0,2,10,11,0,0,1,2,10.6,0.32,1.6,0.16,61,134,45.5,160,36,46.3,38.3,124,4,3.2,2,0.2,10.1,26,10,145,85,71,60,14,139,41.7,81,122,33,89,90,235,219,2,12.4,14.5,9,23.5,7.1,1.4,Overperformed,0.5862068965517241
Manchester Utd,20/21,GR,23,6,152,25.330000000000002,100,17,13,12,9,1,25,4.17,23,6,14,82,32,39,13.67,5.33,0.12000000000000001,0.31,18.8,4,4,4,11.5,8.3,0.1,2.5,1.7,0.1118421052631579,Overperformed,GR,23,51,6,3860,335,989,1887,1017,146,3856,109,68,62.4,41,37.6,1950,10958,5972,128,88,41,92,64,2602,233,23,6,2618,3233,81,42136,14526,7,6.8,5.5,0.2,66,184,49,7,235,18.166666666666668,0.2562176165803109,0.488860103626943,0.2634715025906736,11,1.1666666666666667,39.166666666666664,21.333333333333332,18.166666666666668,164.83333333333334,314.5,169.5,GR,2,6,6,540,6,10,1.6700000000000002,24,15,58.3,3,0,3,1,16.7,0,0,0,0,2,6,10,0,1,1,1,7.8,0.33999999999999997,-1.2,-0.19,24,51,47.1,95,21,35.8,32.4,70,2,2.9,4,0.6699999999999999,14.5,23,6,91,49,31,47,13,95,48.4,49,66,12,54,60,151,94,1,11.666666666666666,15.166666666666666,10,25.166666666666668,5.166666666666667,2.1666666666666665,Underperformed,0.5384615384615384
Manchester Utd,21/22,R16,31,8,150,18.75,119,9,4,5,12,1,21,2.62,31,8,12,87,40,46,10.870000000000001,5,0.14,0.3,17.7,5,0,0,9.4,9.4,0.11,2.6,2.6,0.06,Overperformed,R16,31,53.9,8,5302,451,1556,2571,1222,137,5302,131,68,51.9,63,48.1,2712,14508,7451,133,101,27,140,56,3657,314,31,8,3690,4474,82.5,65094,20999,11,7.4,7.8,3.6,62,267,59,12,314,16.375,0.2934741606940777,0.48491135420596,0.23047906450396077,7.75,1.5,39.25,16.625,16.375,194.5,321.375,152.75,R16,3,8,8,720,8,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,3,8,10,0,0,2,0,8.9,0.27,-1.1,-0.13,27,79,34.2,137,27,36.5,30.3,94,1,1.1,10,1.25,NA,31,8,131,74,54,58,19,120,52.5,57,87,26,61,85,216,124,7,11.75,16.375,10.625,27,6.75,2.375,Underperformed,0.5648854961832062
Marseille,20/21,GR,20,6,85,14.17,65,5,4,5,6,0,3,0.5,20,6,2,47,11,23.4,7.83,1.83,0,0,21,1,2,3,5.9,3.5,0.08,-3.9,-3.5,0.058823529411764705,Underperformed,GR,20,50,6,3745,421,1357,1773,643,59,3742,98,52,53.1,46,46.9,2167,9810,4859,79,60,14,71,41,2565,189,20,6,2583,3182,81.2,43802,14773,0,3.2,3,-3.2,37,147,21,7,191,16.333333333333332,0.3623497997329773,0.47343124165554074,0.17169559412550067,6.166666666666667,1.1666666666666667,31.833333333333332,13.166666666666666,16.333333333333332,226.16666666666666,295.5,107.16666666666667,GR,1,6,6,540,6,13,2.17,25,13,56,1,0,5,0,0,2,2,0,0,1,6,13,2,0,2,1,10.4,0.36,-1.6,-0.27,26,95,27.4,209,18,36.8,31.7,50,1,2,5,0.8300000000000001,16.2,20,6,86,60,48,29,9,90,41.1,53,52,10,42,89,175,65,3,8.333333333333334,14.333333333333334,14.833333333333334,29.166666666666668,8,1.5,Underperformed,0.6976744186046512
Marseille,22/23,GR,19,6,139,23.17,97,19,5,9,8,1,11,1.83,19,6,8,79,23,29.1,13.17,3.8299999999999996,0.09,0.3,19,4,1,1,8.6,7.9,0.1,-0.6,-0.9,0.1366906474820144,Underperformed,GR,19,59.2,6,4280,266,918,2187,1209,111,4279,119,46,38.7,63,52.9,3299,18102,8568,129,134,19,102,60,3051,323,19,6,3072,3647,84.2,55131,15761,6,5.3,4.9,0.7,54,306,46,11,324,19.833333333333332,0.2144859813084112,0.5109813084112149,0.2824766355140187,9,1.8333333333333333,54,21.5,19.833333333333332,153,364.5,201.5,GR,1,6,6,540,6,8,1.33,20,12,60,2,0,4,1,16.7,0,0,0,0,1,6,8,0,0,1,0,5.4,0.27,-2.6,-0.43000000000000005,18,56,32.1,151,20,30.5,32.8,44,3,6.8,11,1.83,17,19,6,107,58,40,51,16,69,58,29,54,20,34,68,175,57,1,7.333333333333333,17.833333333333332,11.333333333333334,29.166666666666668,6.666666666666667,2.6666666666666665,Underperformed,0.5420560747663551
Midtjylland,20/21,GR,22,6,102,17,61,13,7,8,10,3,8,1.33,22,6,4,61,21,34.4,10.17,3.5,0.03,0.1,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5,0.12745098039215685,Underperformed,GR,22,42.3,6,3189,447,1176,1341,716,101,3187,96,62,64.6,34,35.4,1606,8643,4469,89,59,17,100,56,1755,171,22,6,1797,2548,70.5,34613,13936,2,4.5,3.9,-2.5,41,137,31,8,174,16,0.36876763875823143,0.4205079962370649,0.22452179366572594,6.833333333333333,1.3333333333333333,29,14.833333333333334,16,196,223.5,119.33333333333333,GR,2,6,6,540,6,13,2.17,36,23,66.7,0,2,4,0,0,1,1,0,0,2,6,13,1,0,0,0,12.2,0.32999999999999996,-0.8,-0.13,54,149,36.2,245,23,45.3,38.9,68,1,1.5,4,0.6699999999999999,11.2,22,6,94,61,48,35,11,91,36.3,58,69,12,57,110,204,102,3,11.333333333333334,15.666666666666666,18.333333333333332,34,8,1.8333333333333333,Underperformed,0.648936170212766
Milan,21/22,GR,23,6,80,13.33,51,9,5,4,11,0,9,1.5,23,6,5,48,16,33.3,8,2.67,0.1,0.31,18.9,5,0,0,5.8,5.8,0.13,-0.8,-0.8,0.1125,Underperformed,GR,23,46.8,6,3367,425,1288,1478,648,94,3367,136,78,57.4,58,42.6,1684,10201,5178,91,86,20,118,68,2037,160,23,6,2056,2651,77.6,36630,14360,4,3.8,4.5,0.2,30,122,36,9,160,22.666666666666668,0.38253638253638256,0.43896643896643894,0.19245619245619244,5,1.5,26.666666666666668,15.166666666666666,22.666666666666668,214.66666666666666,246.33333333333334,108,GR,2,6,6,540,6,9,1.5,29,20,72.4,1,1,4,1,16.7,2,1,1,0,2,6,9,1,0,1,1,7.6,0.2,-0.4,-0.06,23,66,34.8,160,42,29.4,32.6,99,4,4,4,0.6699999999999999,15.4,23,6,123,65,66,50,7,120,47.5,63,78,29,49,58,181,126,6,16.5,20.5,9.666666666666666,30.166666666666668,11,1.1666666666666667,Underperformed,0.5284552845528455
Milan,22/23,SF,23,12,242,20.17,177,17,13,20,11,4,25,2.08,23,12,14,135,42,31.1,11.25,3.5,0.09,0.29000000000000004,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,0.07024793388429752,Underperformed,SF,23,48,12,6736,739,2282,3104,1426,231,6733,266,115,43.2,112,42.1,3683,21372,11242,217,145,57,183,121,4253,366,23,12,4306,5392,79.9,80341,29115,9,11.3,11,-2.3,99,311,77,26,378,22.166666666666668,0.3387767220902613,0.46080760095011875,0.21169833729216153,8.25,2.1666666666666665,31.5,18.083333333333332,22.166666666666668,190.16666666666666,258.6666666666667,118.83333333333333,SF,2,12,12,1080,12,11,0.92,52,40,80.8,5,3,4,5,41.7,2,1,1,0,2,12,11,1,0,3,0,14.4,0.24000000000000002,3.4,0.28,75,144,52.1,338,48,30.8,32.7,163,11,6.7,21,1.75,21.3,23,12,214,123,111,80,23,183,48.6,94,129,46,83,103,317,187,4,13.583333333333334,17.833333333333332,8.583333333333334,26.416666666666668,9.25,1.9166666666666667,Overperformed,0.5747663551401869
Monaco,18/19,GR,29,6,105,17.5,80,4,6,4,9,2,2,0.32999999999999996,29,6,2,60,19,31.7,10,3.17,0.03,0.11,21.5,3,0,1,5.1,4.3,0.07,-3.1,-2.3,0.0380952380952381,Underperformed,GR,29,45,6,3632,339,1098,1788,782,88,3631,76,36,47.4,40,52.6,2425,13279,7204,135,106,25,77,76,2430,239,29,6,2437,3024,80.6,43127,14600,1,3.2,3.6,-2.2,44,158,49,10,241,12.666666666666666,0.30231277533039647,0.4922907488986784,0.21530837004405287,7.333333333333333,1.6666666666666667,40.166666666666664,22.5,12.666666666666666,183,298,130.33333333333334,GR,3,6,6,540,6,14,2.3299999999999996,28,14,53.6,0,1,5,0,0,2,1,0,1,3,6,14,1,0,1,0,12,0.4,-2,-0.32999999999999996,28,58,48.3,112,18,34.8,28.7,72,3,4.2,5,0.8300000000000001,12,29,6,87,52,46,36,5,65,38.5,40,60,8,52,66,153,125,3,12,14.5,11,25.5,7.666666666666667,0.8333333333333334,Underperformed,0.5977011494252874
Napoli,18/19,GR,18,6,157,26.17,133,9,7,6,2,0,13,2.17,18,6,7,91,31,34.1,15.17,5.17,0.07,0.19,19.7,2,1,1,10.9,10.1,0.11,-3.9,-4.1,0.05732484076433121,Underperformed,GR,18,56.3,6,4755,388,1159,2612,1010,118,4754,76,46,60.5,30,39.5,3012,12223,7116,97,94,16,63,55,3444,312,18,6,3465,4138,83.7,58278,18318,5,7.7,6.9,-2.7,69,247,60,11,312,12.666666666666666,0.2437434279705573,0.54931650893796,0.21240799158780233,11.5,1.8333333333333333,52,16.166666666666668,12.666666666666666,193.16666666666666,435.3333333333333,168.33333333333334,GR,1,6,6,540,6,5,0.8300000000000001,20,15,75,2,3,1,2,33.3,0,0,0,0,1,6,5,0,0,0,1,6.6,0.32999999999999996,2.6,0.44,30,75,40,173,28,30.1,32.1,67,4,6,10,1.6700000000000002,16,18,6,106,68,48,52,6,109,35.8,70,46,16,30,57,163,134,3,11.166666666666666,17.666666666666668,9.5,27.166666666666668,8,1,Overperformed,0.6415094339622641
Napoli,19/20,R16,24,8,197,24.62,143,19,7,15,9,4,20,2.5,24,8,13,108,24,22.2,13.5,3,0.08,0.38,18,1,4,4,14.9,11.8,0.11,-1.9,-2.8,0.09644670050761421,Underperformed,R16,24,47.5,8,5135,586,1759,2354,1065,151,5131,127,72,56.7,55,43.3,2737,14173,7846,147,102,42,118,88,3452,312,24,8,3470,4229,82.1,58974,21041,6,8.3,6.5,-2.3,81,241,49,15,316,15.875,0.34255111976630964,0.45842259006815966,0.2074001947419669,10.125,1.875,39.5,18.375,15.875,219.875,294.25,133.125,R16,2,8,8,720,8,8,1,25,17,80,3,4,1,3,37.5,3,3,0,0,2,8,8,3,0,3,0,8.7,0.23,0.7,0.09,38,74,51.4,167,21,22.2,28.4,122,6,4.9,4,0.5,10.7,24,8,134,90,78,38,18,175,41.7,102,98,27,71,96,230,165,5,15.25,16.75,12,28.75,9.75,2.25,Overperformed,0.6716417910447762
Napoli,22/23,QF,22,10,315,31.5,221,27,22,21,12,12,47,4.7,22,10,26,167,63,37.7,16.7,6.3,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12000000000000001,0.8,2.9,0.08571428571428572,Overperformed,QF,22,56.4,10,6947,633,2106,3408,1519,298,6939,248,114,46,95,38.3,4691,23225,12389,260,166,80,138,82,4908,415,22,10,4938,5849,84.4,79554,26691,20,15.7,15.1,4.3,136,326,89,20,419,24.8,0.30315243990211604,0.4905714696991507,0.21865553476320715,13.6,2,41.9,26,24.8,210.6,340.8,151.9,QF,1,10,10,900,10,8,0.8,30,21,76.7,7,1,2,4,40,2,1,1,0,1,10,8,1,0,2,0,11.4,0.32999999999999996,3.4,0.33999999999999997,21,47,44.7,245,48,15.5,24.8,129,7,5.4,11,1.1,13.6,22,10,173,104,79,64,30,141,55.3,63,95,29,66,88,261,160,4,12.9,17.3,8.8,26.1,7.9,3,Overperformed,0.6011560693641619
Olympiacos,19/20,GR,17,6,139,23.17,99,10,20,4,4,2,14,2.3299999999999996,17,6,8,75,20,26.7,12.5,3.3299999999999996,0.08,0.3,20,0,2,2,7.9,6.3,0.08,0.1,-0.3,0.07194244604316546,Overperformed,GR,17,45,6,3263,428,1196,1498,599,101,3261,126,82,65.1,44,34.9,1736,9107,4657,94,56,23,78,60,2036,186,17,6,2051,2627,78.1,37706,13570,5,5,4.9,0,58,123,39,15,188,21,0.3665338645418327,0.45908673000306466,0.18357339871284095,9.666666666666666,2.5,31.333333333333332,15.666666666666666,21,199.33333333333334,249.66666666666666,99.83333333333333,GR,1,6,6,540,6,14,2.3299999999999996,35,21,62.9,1,1,4,1,16.7,2,1,0,1,1,6,14,1,0,3,0,12.3,0.32999999999999996,-1.7,-0.28,25,110,22.7,165,38,46.7,38.5,97,7,7.2,1,0.17,9.8,17,6,99,61,57,35,7,110,50.9,54,50,24,26,57,156,127,5,16.166666666666668,16.5,9.5,26,9.5,1.1666666666666667,Underperformed,0.6161616161616161
Olympiacos,20/21,GR,21,6,73,12.17,55,7,4,4,3,0,3,0.5,21,6,2,44,10,22.7,7.33,1.6700000000000002,0.05,0.2,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1,0.0958904109589041,Underperformed,GR,21,49,6,3723,416,1338,1804,614,74,3723,74,50,67.6,24,32.4,2116,10135,4895,67,50,14,74,55,2477,187,21,6,2498,3153,79.2,43870,15002,2,3.1,3.2,-1.1,30,155,24,8,189,12.333333333333334,0.35938759065269943,0.48455546602202526,0.16492076282567822,5,1.3333333333333333,31.5,11.166666666666666,12.333333333333334,223,300.6666666666667,102.33333333333333,GR,1,6,6,540,6,10,1.6700000000000002,34,24,79.4,1,0,5,1,16.7,3,3,0,0,1,6,10,3,0,0,0,11.1,0.24000000000000002,1.1,0.18,28,80,35,161,39,32.9,32.2,68,6,8.8,0,0,9.4,21,6,88,40,36,46,6,91,35.2,59,45,15,30,83,171,103,3,11.333333333333334,14.666666666666666,13.833333333333334,28.5,6,1,Overperformed,0.45454545454545453
Paris S-G,18/19,R16,20,8,217,27.12,160,12,17,16,10,2,35,4.37,20,8,19,119,57,47.9,14.870000000000001,7.119999999999999,0.16,0.32999999999999996,16.1,11,0,0,16.9,16.9,0.15000000000000002,2.1,2.1,0.055299539170506916,Overperformed,R16,20,58.5,8,5982,453,1680,3014,1338,214,5982,155,95,61.3,60,38.7,3577,18391,9879,212,153,58,113,80,4445,339,20,8,4469,5144,86.9,69564,21926,14,15.2,11.6,-1.2,90,272,86,15,340,19.375,0.28084252758274825,0.5038448679371448,0.22367101303911735,11.25,1.875,42.5,26.5,19.375,210,376.75,167.25,R16,2,8,8,720,8,12,1.5,28,16,71.4,4,2,2,1,12.5,4,4,0,0,2,8,12,4,0,0,0,10.6,0.25,-1.4,-0.18,22,60,36.7,159,27,20.8,29.1,87,2,2.3,1,0.13,10.2,20,8,116,73,55,52,9,90,33.3,60,67,20,47,79,195,155,3,10.875,14.5,9.875,24.375,6.875,1.125,Underperformed,0.6293103448275862
Paris S-G,19/20,F,24,11,239,21.73,183,15,13,9,15,4,47,4.2700000000000005,24,11,25,133,59,44.4,12.09,5.359999999999999,0.18,0.41000000000000003,16.2,8,1,1,26.2,25.4,0.19,-1.2,-1.4,0.06276150627615062,Underperformed,F,24,53.2,11,7823,717,2423,3963,1515,225,7822,228,137,60.1,91,39.9,4706,22862,12052,204,187,58,165,95,5608,443,24,11,5643,6611,85.4,85322,29877,20,21.3,17.9,-1.3,102,314,86,8,443,20.727272727272727,0.30972772593634157,0.5065831522433849,0.19365972133452639,9.272727272727273,0.7272727272727273,40.27272727272727,18.545454545454547,20.727272727272727,220.27272727272728,360.27272727272725,137.72727272727272,F,2,11,11,990,11,6,0.55,29,22,79.3,8,1,2,7,63.6,1,0,1,0,2,11,6,0,0,0,0,9.7,0.3,3.7,0.33999999999999997,32,105,30.5,246,50,29.7,23.7,133,4,3,3,0.27,8,24,11,194,111,100,72,22,196,41.8,114,122,36,86,121,315,188,1,12.090909090909092,17.636363636363637,11,28.636363636363637,9.090909090909092,2,Overperformed,0.5721649484536082
Paris S-G,20/21,SF,23,12,247,20.58,174,15,30,14,13,1,37,3.08,23,12,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3,0.06072874493927125,Underperformed,SF,23,48.3,12,7686,980,2838,3474,1457,251,7682,297,175,58.9,122,41.1,4378,22437,11608,215,157,67,195,111,5161,394,23,12,5198,6236,83.4,80282,29918,16,15.1,11.7,0.9,105,290,84,12,402,24.75,0.3692427790788447,0.4519906323185012,0.18956544366380432,8.75,1,33.5,17.916666666666668,24.75,236.5,289.5,121.41666666666667,SF,1,12,12,1080,12,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,1,12,15,3,1,2,0,18.7,0.22,3.7,0.31,47,140,33.6,334,62,32.3,32.7,181,5,2.8,8,0.6699999999999999,12.5,23,12,202,112,102,82,18,222,36.5,141,144,47,97,140,342,249,4,15.083333333333334,16.833333333333332,11.666666666666666,28.5,8.5,1.5,Overperformed,0.5544554455445545
Paris S-G,21/22,R16,21,8,165,20.62,135,4,12,6,7,1,28,3.5,21,8,15,85,35,41.2,10.62,4.37,0.15000000000000002,0.37,17.2,2,2,4,14.5,11.3,0.14,0.5,1.7,0.024242424242424242,Overperformed,R16,21,54.9,8,5796,717,1998,2661,1183,171,5792,188,113,60.1,75,39.9,3146,17376,9071,166,137,61,115,85,4265,274,21,8,4292,4901,87.6,62993,21409,8,9.6,8.3,-1.6,70,230,51,4,275,23.5,0.3447204968944099,0.4591097308488613,0.2041062801932367,8.75,0.5,34.375,20.75,23.5,249.75,332.625,147.875,R16,2,8,8,720,8,11,1.37,41,29,75.6,4,2,2,2,25,2,1,1,0,2,8,11,1,0,0,0,13.3,0.28,2.3,0.28,15,49,30.6,197,48,16.2,26.2,114,4,3.5,11,1.3800000000000001,10.6,21,8,126,63,78,35,13,137,41.6,80,102,35,67,55,181,166,5,14.25,15.75,6.875,22.625,9.75,1.625,Overperformed,0.5
Paris S-G,22/23,R16,21,8,179,22.37,138,11,9,7,13,1,28,3.5,21,8,15,99,41,41.4,12.38,5.119999999999999,0.14,0.33999999999999997,17.6,8,1,1,10.8,10,0.1,4.2,4,0.061452513966480445,Overperformed,R16,21,56.8,8,5947,558,1832,2760,1411,210,5946,202,99,49,74,36.6,4836,26522,12412,184,197,55,102,91,4543,351,21,8,4570,5187,88.1,68541,22084,12,7.1,8.6,4.9,70,311,89,8,352,25.25,0.30805448125105095,0.4640995459895746,0.2372624852866992,8.75,1,44,23,25.25,229,345,176.375,R16,1,8,8,720,8,10,1.25,35,26,74.3,4,2,2,0,0,1,1,0,0,1,8,10,1,0,2,1,10.1,0.26,1.1,0.13,13,42,31,174,41,19,25.1,99,2,2,8,1,13.3,21,8,117,77,58,45,14,139,42.4,80,77,23,54,62,179,97,3,12.375,14.625,7.75,22.375,7.25,1.75,Overperformed,0.6581196581196581
