Squad,Year,Rank.x,# Pl.x.x,90s.x.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y.x,90s.y.x,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK.x,PK,PKatt.x,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance,Rank.y,# Pl.x.y,Poss,90s.x.y,Touches,Def Pen,Def 3rd.x,Mid 3rd.x,Att 3rd.x,Att Pen,Live,Att.x.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y.y,90s.y.y,Cmp.x,Att.y.x,Cmp%.x,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt.y,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK.y,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp.y,Att.x.y,Cmp%.y,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd.y,Mid 3rd.y,Att 3rd.y,Att.y.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Liverpool,20/21,QF,29,10,182,18.2,137,19,16,5,4,1,22,2.2,29,10,14,109,43,39.4,10.9,4.3,0.12000000000000001,0.3,16.2,1,1,1,14.7,14,0.13,-0.7,-1,0.1043956043956044,Underperformed,QF,29,52,10,6997,640,1982,3483,1607,227,6996,185,102,55.1,83,44.9,4418,21750,11459,213,190,57,183,98,4687,435,29,10,4722,5888,80.2,79146,27797,10,10.8,9.1,-0.8,85,305,88,15,439,18.5,0.2832642561097613,0.49778476489924256,0.22966985851079033,8.5,1.5,43.9,21.3,18.5,198.2,348.3,160.7,QF,3,10,10,900,10,6,0.6,38,32,86.8,6,2,2,7,70,1,1,0,0,3,10,6,1,0,0,0,12.2,0.3,6.2,0.62,49,120,40.8,307,50,30,37.9,120,6,5,15,1.5,13,29,10,135,84,68,54,13,141,39,86,110,20,90,117,252,171,7,12,13.5,11.7,25.2,6.8,1.3,Overperformed,0.6222222222222222
Liverpool,21/22,F,28,13,390,30,276,31,33,28,17,5,46,3.54,28,13,28,222,79,35.6,17.08,6.08,0.12000000000000001,0.33999999999999997,18,6,1,2,27.3,25.8,0.12000000000000001,0.7,1.2,0.07948717948717948,Overperformed,F,28,61.8,13,10137,637,2450,5012,2772,403,10135,304,164,53.9,139,45.7,5949,28807,14815,291,244,96,249,125,7272,734,28,13,7308,8675,84.2,125865,43721,21,20.6,17.1,0.4,168,633,145,28,740,23.384615384615383,0.24168886258261812,0.49442635888329883,0.27345368452204794,12.923076923076923,2.1538461538461537,56.92307692307692,22.384615384615383,23.384615384615383,188.46153846153845,385.53846153846155,213.23076923076923,F,1,13,13,1170,13,14,1.08,28,14,50,10,1,2,4,30.8,0,0,0,0,1,13,14,0,0,2,0,14.5,0.52,0.5,0.04,39,84,46.4,432,74,15.5,26.6,99,7,7.1,18,1.3800000000000001,18.2,28,13,215,127,78,91,46,217,48.4,112,136,15,121,139,354,156,2,7.615384615384615,16.53846153846154,10.692307692307692,27.23076923076923,6,3.5384615384615383,Overperformed,0.5906976744186047
Liverpool,22/23,R16,25,8,222,27.75,165,24,10,15,6,2,31,3.8699999999999997,25,8,19,126,55,43.7,15.75,6.87,0.14,0.32999999999999996,16,4,1,1,14.7,13.9,0.11,4.3,4.1,0.10810810810810811,Overperformed,R16,25,54.9,8,5473,397,1444,2578,1500,257,5472,148,62,41.9,68,45.9,3020,15605,7685,150,132,48,133,85,3756,399,25,8,3786,4628,81.8,64379,23190,15,10.8,11.7,4.2,103,305,101,16,407,18.5,0.26384067239174125,0.4710396491869176,0.2740727206285401,12.875,2,50.875,18.75,18.5,180.5,322.25,187.5,R16,1,8,8,720,8,12,1.5,28,15,60.7,5,0,3,3,37.5,2,1,1,0,1,8,12,1,0,0,0,12.6,0.4,0.6,0.08,28,51,54.9,235,36,17.9,26.5,56,7,12.5,10,1.25,17.4,25,8,141,81,58,64,19,125,53.6,58,83,20,63,60,201,76,3,7,17.625,7.5,25.125,7.25,2.375,Overperformed,0.574468085106383
Loko Moscow,18/19,GR,19,6,139,23.17,97,15,10,10,5,2,6,1,19,6,3,75,13,17.3,12.5,2.17,0.04,0.23,18.9,2,0,1,6.6,5.8,0.08,-3.6,-2.8,0.1079136690647482,Underperformed,GR,19,45.8,6,3423,329,912,1674,871,111,3422,73,41,56.2,32,43.8,1551,9592,5102,103,81,30,96,74,1937,203,19,6,1958,2670,73.3,31569,13544,2,4.6,6.2,-2.6,59,169,33,3,207,12.166666666666666,0.26643295354951796,0.4890446976336547,0.2544551562956471,9.833333333333334,0.5,34.5,17.166666666666668,12.166666666666666,152,279,145.16666666666666,GR,1,6,6,540,6,12,2,33,21,69.7,1,0,5,1,16.7,2,2,0,0,1,6,12,2,1,3,0,8,0.18,-4,-0.6599999999999999,43,111,38.7,140,31,55,39.8,93,10,10.8,2,0.32999999999999996,10.4,19,6,114,80,56,46,12,106,40.6,63,72,24,48,93,207,141,4,15.5,19,15.5,34.5,9.333333333333334,2,Underperformed,0.7017543859649122
Loko Moscow,19/20,GR,20,6,89,14.83,67,7,5,8,1,1,3,0.5,20,6,4,55,21,38.2,9.17,3.5,0.07,0.19,19.1,1,0,0,6,6,0.12000000000000001,-2,-2,0.07865168539325842,Underperformed,GR,20,32.3,6,2875,441,1083,1296,530,61,2875,86,51,59.3,35,40.7,1420,7455,3620,63,58,12,103,69,1508,139,20,6,1517,2085,72.8,27504,12024,2,3.2,2.5,-1.2,38,105,18,5,140,14.333333333333334,0.37669565217391304,0.4507826086956522,0.18434782608695652,6.333333333333333,0.8333333333333334,23.333333333333332,10.5,14.333333333333334,180.5,216,88.33333333333333,GR,2,6,6,540,6,11,1.83,42,32,76.2,1,0,5,0,0,2,1,1,0,2,6,11,1,0,1,2,10.9,0.22,1.9,0.31,50,120,41.7,119,30,52.1,39.9,125,6,4.8,3,0.5,13.4,20,6,91,49,47,32,12,116,33.6,77,79,33,46,98,189,170,3,20.833333333333332,15.166666666666666,16.333333333333332,31.5,7.833333333333333,2,Overperformed,0.5384615384615384
Loko Moscow,20/21,GR,22,6,74,12.33,55,8,3,2,6,0,9,1.5,22,6,5,39,15,38.5,6.5,2.5,0.08,0.2,18.8,1,2,2,4.9,3.3,0.08,0.1,-0.3,0.10810810810810811,Overperformed,GR,22,38.8,6,3093,562,1367,1258,498,70,3091,85,54,63.5,31,36.5,1478,7593,3563,78,50,18,106,54,1678,157,22,6,1700,2329,73,31025,14399,3,3,2.9,0,31,105,27,8,157,14.166666666666666,0.4419657290656321,0.4067248625929518,0.16100872938894278,5.166666666666667,1.3333333333333333,26.166666666666668,13,14.166666666666666,227.83333333333334,209.66666666666666,83,GR,1,6,6,540,6,10,1.6700000000000002,35,25,71.4,0,3,3,1,16.7,0,0,0,0,1,6,10,0,0,3,0,9.4,0.27,-0.6,-0.11,50,107,46.7,177,29,41.8,35.2,143,10,7,5,0.8300000000000001,12.6,22,6,89,47,65,15,9,124,40.3,74,73,30,43,100,189,202,2,23.833333333333332,14.833333333333334,16.666666666666668,31.5,10.833333333333334,1.5,Underperformed,0.5280898876404494
Lyon,18/19,R16,21,8,204,25.5,150,10,13,17,10,4,22,2.75,21,8,13,118,42,35.6,14.75,5.25,0.11,0.31,18.2,6,0,0,12.3,12.3,0.11,0.7,0.7,0.049019607843137254,Overperformed,R16,21,43.6,8,4775,537,1498,2358,978,174,4775,143,92,64.3,51,35.7,2815,15412,8176,157,115,49,118,81,3139,288,21,8,3153,3842,82.1,53662,18974,9,10.2,7.7,-1.2,90,197,55,5,290,17.875,0.313717277486911,0.4938219895287958,0.20481675392670157,11.25,0.625,36.25,19.625,17.875,187.25,294.75,122.25,R16,2,8,8,720,8,16,2,52,36,71.2,1,6,1,1,12.5,1,1,0,0,2,8,16,1,0,1,0,17.7,0.32,1.7,0.21000000000000002,40,119,33.6,177,28,40.7,36.9,101,1,1,9,1.1300000000000001,15.4,21,8,141,79,72,61,8,112,44.6,62,99,34,65,100,241,197,2,12.625,17.625,12.5,30.125,9,1,Overperformed,0.5602836879432624
Lyon,19/20,SF,24,10,207,20.7,146,13,24,9,10,5,25,2.5,24,10,14,119,39,32.8,11.9,3.9,0.1,0.31,19.9,2,2,2,12.7,11.1,0.09,1.3,0.9,0.06280193236714976,Overperformed,SF,24,44.9,10,5869,669,1881,2684,1366,177,5867,246,165,67.1,81,32.9,3434,17928,9531,217,145,56,158,118,3664,353,24,10,3679,4704,78.2,65004,23262,9,7.8,6.6,1.2,83,268,55,18,354,24.6,0.3204975293917192,0.4573181121144999,0.23274833872891465,8.3,1.8,35.4,21.7,24.6,188.1,268.4,136.6,SF,1,10,10,900,10,14,1.4,38,24,71.1,4,2,4,2,20,3,3,0,0,1,10,14,3,0,1,0,12.4,0.27,-1.6,-0.16,47,133,35.3,240,56,37.9,34.4,173,11,6.4,4,0.4,12.1,24,10,139,82,66,55,18,139,40.3,83,123,38,85,110,249,237,3,17.3,13.9,11,24.9,6.6,1.8,Underperformed,0.5899280575539568
M'Gladbach,20/21,R16,21,8,135,16.88,97,10,5,10,9,4,28,3.5,21,8,15,73,31,42.5,9.12,3.8699999999999997,0.18,0.42000000000000004,17.1,5,2,2,11.6,10,0.14,3.4,3,0.07407407407407407,Overperformed,R16,21,42,8,4765,649,1954,2099,754,103,4763,109,68,62.4,41,37.6,2315,11836,6065,111,83,14,64,53,3243,212,21,8,3260,3961,82.3,54291,18153,9,7.6,5.8,1.4,56,152,52,8,214,13.625,0.4100734522560336,0.44050367261280166,0.15823714585519413,7,1,26.75,13.875,13.625,244.25,262.375,94.25,R16,1,8,8,720,8,13,1.62,35,22,62.9,2,2,4,2,25,0,0,0,0,1,8,13,0,0,1,0,14.1,0.42000000000000004,1.1,0.14,33,86,38.4,292,29,27.1,29.2,107,6,5.6,4,0.5,12.6,21,8,142,73,81,47,14,164,42.1,95,119,34,85,90,232,144,2,13.375,17.75,11.25,29,10.125,1.75,Overperformed,0.5140845070422535
Maccabi Haifa,22/23,GR,20,6,140,23.330000000000002,101,8,12,8,6,5,13,2.17,20,6,7,76,21,27.6,12.67,3.5,0.08,0.29000000000000004,20.7,4,1,1,6.4,5.6,0.07,0.6,0.4,0.05714285714285714,Overperformed,GR,20,43.3,6,3364,376,1087,1578,743,101,3363,101,43,42.6,45,44.6,2212,12095,5961,107,97,22,82,55,2159,210,20,6,2173,2698,80.5,36803,13241,6,5.2,4.5,0.8,64,150,41,11,213,16.833333333333332,0.3231272294887039,0.4690844233055886,0.2208680142687277,10.666666666666666,1.8333333333333333,35.5,17.833333333333332,16.833333333333332,181.16666666666666,263,123.83333333333333,GR,1,6,6,540,6,21,3.5,42,22,50,1,0,5,1,16.7,0,0,0,0,1,6,21,0,1,2,1,17.7,0.42000000000000004,-2.3,-0.38,19,49,38.8,104,30,30.8,32.5,82,4,4.9,8,1.33,17.2,20,6,124,73,76,32,16,110,47.3,58,55,18,37,53,177,104,0,13.666666666666666,20.666666666666668,8.833333333333334,29.5,12.666666666666666,2.6666666666666665,Underperformed,0.5887096774193549
