Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
RB Salzburg,20/21,GR,19,48.8,6,3724,299,1075,1740,948,142,3724,92,45,48.9,47,51.1,1870,9916,5292,103,85,28,88,49,2151,292,19,6,2172,2946,73.7,37091,14715,6,8.2,6.8,-2.2,69,202,60,7,297,15.333333333333334,0.28866809881847477,0.4672395273899033,0.2545649838882922,11.5,1.1666666666666667,49.5,17.166666666666668,15.333333333333334,179.16666666666666,290,158
Dynamo Kyiv,20/21,GR,22,42.5,6,3583,457,1449,1542,622,91,3582,60,37,61.7,23,38.3,2124,9875,4948,92,69,18,85,43,2382,180,22,6,2397,2931,81.8,42991,13806,1,3.8,3.7,-2.8,29,145,35,14,180,10,0.4044097125313983,0.4303656154060843,0.17359754395757745,4.833333333333333,2.3333333333333335,30,15.333333333333334,10,241.5,257,103.66666666666667
Loko Moscow,20/21,GR,22,38.8,6,3093,562,1367,1258,498,70,3091,85,54,63.5,31,36.5,1478,7593,3563,78,50,18,106,54,1678,157,22,6,1700,2329,73,31025,14399,3,3,2.9,0,31,105,27,8,157,14.166666666666666,0.4419657290656321,0.4067248625929518,0.16100872938894278,5.166666666666667,1.3333333333333333,26.166666666666668,13,14.166666666666666,227.83333333333334,209.66666666666666,83
Olympiacos,20/21,GR,21,49,6,3723,416,1338,1804,614,74,3723,74,50,67.6,24,32.4,2116,10135,4895,67,50,14,74,55,2477,187,21,6,2498,3153,79.2,43870,15002,2,3.1,3.2,-1.1,30,155,24,8,189,12.333333333333334,0.35938759065269943,0.48455546602202526,0.16492076282567822,5,1.3333333333333333,31.5,11.166666666666666,12.333333333333334,223,300.6666666666667,102.33333333333333
Başakşehir,20/21,GR,21,42.8,6,3468,388,1192,1515,800,90,3468,95,50,52.6,45,47.4,2117,10902,5293,122,94,26,91,44,2129,188,21,6,2146,2773,77.4,37081,13710,5,4.4,4.4,0.6,48,128,34,9,195,15.833333333333334,0.34371395617070355,0.43685121107266434,0.2306805074971165,8,1.5,32.5,20.333333333333332,15.833333333333334,198.66666666666666,252.5,133.33333333333334
Marseille,20/21,GR,20,50,6,3745,421,1357,1773,643,59,3742,98,52,53.1,46,46.9,2167,9810,4859,79,60,14,71,41,2565,189,20,6,2583,3182,81.2,43802,14773,0,3.2,3,-3.2,37,147,21,7,191,16.333333333333332,0.3623497997329773,0.47343124165554074,0.17169559412550067,6.166666666666667,1.1666666666666667,31.833333333333332,13.166666666666666,16.333333333333332,226.16666666666666,295.5,107.16666666666667
Midtjylland,20/21,GR,22,42.3,6,3189,447,1176,1341,716,101,3187,96,62,64.6,34,35.4,1606,8643,4469,89,59,17,100,56,1755,171,22,6,1797,2548,70.5,34613,13936,2,4.5,3.9,-2.5,41,137,31,8,174,16,0.36876763875823143,0.4205079962370649,0.22452179366572594,6.833333333333333,1.3333333333333333,29,14.833333333333334,16,196,223.5,119.33333333333333
Rennes,20/21,GR,26,49.5,6,3765,346,1183,1766,844,104,3763,95,57,60,38,40,2023,11068,5454,102,88,24,101,43,2505,214,26,6,2518,3151,79.9,45874,15572,1,4.9,4,-3.9,52,190,39,10,215,15.833333333333334,0.31420982735723774,0.46905710491367864,0.22416998671978752,8.666666666666666,1.6666666666666667,35.833333333333336,17,15.833333333333334,197.16666666666666,294.3333333333333,140.66666666666666
Zenit,20/21,GR,21,46.2,6,3678,392,1238,1582,896,103,3678,76,45,59.2,31,40.8,1936,10022,5007,90,79,18,92,60,2375,205,21,6,2394,3026,79.1,42918,15831,3,5,5.2,-2,46,161,47,17,206,12.666666666666666,0.33659597607395325,0.4301250679717238,0.24361065796628603,7.666666666666667,2.8333333333333335,34.333333333333336,15,12.666666666666666,206.33333333333334,263.6666666666667,149.33333333333334
Ferencváros,20/21,GR,20,44.2,6,3708,436,1516,1633,594,78,3707,87,48,55.2,39,44.8,2355,10515,5501,69,62,11,103,53,2522,175,20,6,2554,3106,82.2,48627,15653,3,3.5,2.3,-0.5,45,135,31,3,181,14.5,0.40884573894282633,0.44039913700107874,0.16019417475728157,7.5,0.5,30.166666666666668,11.5,14.5,252.66666666666666,272.1666666666667,99
Bayern Munich,19/20,W,20,63.8,11,8620,593,2102,4182,2397,410,8618,210,128,61,82,39,5469,27506,15318,315,202,89,137,70,6408,694,20,11,6436,7516,85.6,115971,36605,37,25.3,21.6,11.7,175,498,167,33,694,19.09090909090909,0.24385150812064965,0.4851508120649652,0.27807424593967517,15.909090909090908,3,63.09090909090909,28.636363636363637,19.09090909090909,191.0909090909091,380.1818181818182,217.9090909090909
Paris S-G,19/20,F,24,53.2,11,7823,717,2423,3963,1515,225,7822,228,137,60.1,91,39.9,4706,22862,12052,204,187,58,165,95,5608,443,24,11,5643,6611,85.4,85322,29877,20,21.3,17.9,-1.3,102,314,86,8,443,20.727272727272727,0.30972772593634157,0.5065831522433849,0.19365972133452639,9.272727272727273,0.7272727272727273,40.27272727272727,18.545454545454547,20.727272727272727,220.27272727272728,360.27272727272725,137.72727272727272
RB Leipzig,19/20,SF,25,57.1,10,7632,600,1974,3669,2047,259,7628,174,102,58.6,72,41.4,4298,22171,12453,233,189,36,183,76,5269,560,25,10,5285,6434,82.1,85374,29666,10,9.9,11.1,0.1,110,450,125,32,563,17.4,0.2586477987421384,0.48073899371069184,0.2682127882599581,11,3.2,56.3,23.3,17.4,197.4,366.9,204.7
Lyon,19/20,SF,24,44.9,10,5869,669,1881,2684,1366,177,5867,246,165,67.1,81,32.9,3434,17928,9531,217,145,56,158,118,3664,353,24,10,3679,4704,78.2,65004,23262,9,7.8,6.6,1.2,83,268,55,18,354,24.6,0.3204975293917192,0.4573181121144999,0.23274833872891465,8.3,1.8,35.4,21.7,24.6,188.1,268.4,136.6
Manchester City,19/20,QF,23,62.4,9,7135,440,1426,3663,2104,278,7132,187,128,68.4,59,31.6,5285,25815,14361,270,237,70,108,91,5457,484,23,9,5498,6313,87.1,89852,26242,18,20,19.7,-2,117,452,107,14,486,20.77777777777778,0.19985984583041347,0.5133847231955151,0.2948843728100911,13,1.5555555555555556,54,30,20.77777777777778,158.44444444444446,407,233.77777777777777
Barcelona,19/20,QF,24,57,9,6898,679,1800,3497,1662,191,6897,206,144,69.9,62,30.1,4358,22417,12123,180,182,41,103,85,5181,404,24,9,5214,6023,86.6,86873,25778,10,11.5,9.7,-1.5,77,392,81,8,407,22.88888888888889,0.2609452015076834,0.5069585387068716,0.24093940272542766,8.555555555555555,0.8888888888888888,45.22222222222222,20,22.88888888888889,200,388.55555555555554,184.66666666666666
Atlético Madrid,19/20,QF,21,45.1,9.3,5607,571,1569,2615,1478,185,5604,138,84,60.9,54,39.1,2968,15235,7694,139,135,33,145,92,3442,382,21,9.3,3470,4514,76.9,57710,21604,9,10,10.8,-1,89,242,81,10,385,14.838709677419354,0.279828785446763,0.4663813090779383,0.26359907258783666,9.569892473118278,1.075268817204301,41.397849462365585,14.946236559139784,14.838709677419354,168.70967741935482,281.18279569892474,158.92473118279568
