Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
Juventus,18/19,QF,22,55.2,10,6707,534,1679,3533,1565,216,6704,190,114,60,75,39.5,3661,20969,11253,227,180,47,150,93,4690,455,22,10,4714,5657,83.3,86350,28985,11,13.4,12.6,-2.4,119,324,89,29,460,19,0.25033547040405546,0.5267630833457582,0.23333830326524527,11.9,2.9,46,22.7,19,167.9,353.3,156.5
Manchester Utd,18/19,QF,26,45.6,10,6044,563,1587,3050,1456,177,6042,145,84,57.9,61,42.1,3230,17230,9405,205,155,58,131,120,4112,394,26,10,4134,5034,82.1,68833,24174,5,6.2,6.3,-1.2,84,306,78,20,397,14.5,0.2625744540039709,0.5046326935804103,0.24090006618133686,8.4,2,39.7,20.5,14.5,158.7,305,145.6
Atlético Madrid,18/19,R16,21,48.9,8,5113,336,1176,2552,1434,175,5113,104,63,60.6,41,39.4,2824,14763,7479,151,125,32,106,69,3367,325,21,8,3398,4276,79.5,56377,19398,8,6.5,8.1,1.5,73,267,59,12,328,13,0.23000195579894386,0.4991198904752591,0.280461568550753,9.125,1.5,41,18.875,13,147,319,179.25
Bayern Munich,18/19,R16,20,56.9,8,5916,510,1962,2827,1163,215,5914,125,69,55.2,56,44.8,3543,19116,10448,204,144,61,102,99,4137,368,20,8,4168,5025,82.9,75753,23334,9,11.1,10.4,-2.1,80,244,79,10,371,15.625,0.3316430020283976,0.47785665990534143,0.19658553076402974,10,1.25,46.375,25.5,15.625,245.25,353.375,145.375
Real Madrid,18/19,R16,24,62.1,8,6291,471,1504,2999,1837,269,6291,148,91,61.5,57,38.5,4125,22827,11606,257,167,87,109,78,4660,535,24,8,4682,5445,86,86214,28482,12,15.3,12,-3.3,127,450,87,19,536,18.5,0.23907168971546655,0.47671276426641235,0.2920044508027341,15.875,2.375,67,32.125,18.5,188,374.875,229.625
Paris S-G,18/19,R16,20,58.5,8,5982,453,1680,3014,1338,214,5982,155,95,61.3,60,38.7,3577,18391,9879,212,153,58,113,80,4445,339,20,8,4469,5144,86.9,69564,21926,14,15.2,11.6,-1.2,90,272,86,15,340,19.375,0.28084252758274825,0.5038448679371448,0.22367101303911735,11.25,1.875,42.5,26.5,19.375,210,376.75,167.25
Dortmund,18/19,R16,24,60.6,8,6904,418,1656,3659,1641,191,6903,140,80,57.1,59,42.1,4703,22779,11436,170,174,49,138,86,5236,444,24,8,5255,6024,87.2,90388,25808,8,10.6,11.7,-2.6,76,398,73,10,446,17.5,0.2398609501738123,0.5299826187717266,0.2376882966396292,9.5,1.25,55.75,21.25,17.5,207,457.375,205.125
Roma,18/19,R16,24,49.3,8.3,5032,553,1630,2356,1100,189,5031,146,80,54.8,66,45.2,2753,15155,7862,153,100,39,115,81,3268,396,24,8.3,3282,4125,79.6,60190,24233,12,11.6,8.9,0.4,96,291,81,19,399,17.59036144578313,0.3239268680445151,0.4682034976152623,0.21860095389507153,11.566265060240962,2.2891566265060237,48.0722891566265,18.433734939759034,17.59036144578313,196.38554216867468,283.855421686747,132.5301204819277
Schalke 04,18/19,R16,27,42.3,8,4164,393,1463,1921,830,125,4161,122,67,54.9,55,45.1,2076,12991,6767,147,104,31,104,102,2419,240,27,8,2440,3273,74.5,46792,16903,4,5.7,4.6,-1.7,55,168,40,7,241,15.25,0.35134486071085497,0.4613352545629203,0.19932756964457252,6.875,0.875,30.125,18.375,15.25,182.875,240.125,103.75
Lyon,18/19,R16,21,43.6,8,4775,537,1498,2358,978,174,4775,143,92,64.3,51,35.7,2815,15412,8176,157,115,49,118,81,3139,288,21,8,3153,3842,82.1,53662,18974,9,10.2,7.7,-1.2,90,197,55,5,290,17.875,0.313717277486911,0.4938219895287958,0.20481675392670157,11.25,0.625,36.25,19.625,17.875,187.25,294.75,122.25
Napoli,18/19,GR,18,56.3,6,4755,388,1159,2612,1010,118,4754,76,46,60.5,30,39.5,3012,12223,7116,97,94,16,63,55,3444,312,18,6,3465,4138,83.7,58278,18318,5,7.7,6.9,-2.7,69,247,60,11,312,12.666666666666666,0.2437434279705573,0.54931650893796,0.21240799158780233,11.5,1.8333333333333333,52,16.166666666666668,12.666666666666666,193.16666666666666,435.3333333333333,168.33333333333334
Valencia,18/19,GR,22,50.3,6,3679,327,1004,1840,866,122,3678,98,59,60.2,38,38.8,2359,11973,6365,126,99,23,88,68,2465,267,22,6,2480,3051,81.3,42612,16341,2,4.6,5.5,-2.6,50,173,47,14,271,16.333333333333332,0.2729002446316934,0.5001359064963306,0.2353900516444686,8.333333333333334,2.3333333333333335,45.166666666666664,21,16.333333333333332,167.33333333333334,306.6666666666667,144.33333333333334
Inter,18/19,GR,17,47.7,6,3730,399,1256,1716,785,125,3730,67,34,50.7,33,49.3,1773,10954,5875,129,77,16,68,47,2475,241,17,6,2489,3077,80.9,42946,15899,4,7.4,6.9,-3.4,69,179,50,25,243,11.166666666666666,0.33672922252010723,0.4600536193029491,0.21045576407506703,11.5,4.166666666666667,40.5,21.5,11.166666666666666,209.33333333333334,286,130.83333333333334
CSKA Moscow,18/19,GR,22,44.7,6,3354,407,1147,1468,768,114,3352,94,54,57.4,40,42.6,1560,9147,4843,109,85,21,64,51,2046,218,22,6,2055,2660,77.3,36358,13920,5,4.4,3.6,0.6,66,142,47,7,218,15.666666666666666,0.34197972570065593,0.43768634466308887,0.22898032200357782,11,1.1666666666666667,36.333333333333336,18.166666666666668,15.666666666666666,191.16666666666666,244.66666666666666,128
Benfica,18/19,GR,20,44.3,6,3478,318,1097,1714,722,99,3478,91,56,61.5,35,38.5,2049,10572,5322,106,84,14,80,68,2148,205,20,6,2163,2775,77.9,37500,13917,3,4.7,4.8,-1.7,55,132,39,8,209,15.166666666666666,0.3154111558366878,0.4928119608970673,0.20759056929269695,9.166666666666666,1.3333333333333333,34.833333333333336,17.666666666666668,15.166666666666666,182.83333333333334,285.6666666666667,120.33333333333333
Viktoria Plzeň,18/19,GR,21,38.8,6,3003,426,1102,1263,673,104,3002,61,30,49.2,31,50.8,1360,8516,4394,93,84,21,53,51,1760,204,21,6,1780,2384,74.7,32555,13869,6,5.8,4.5,0.2,48,122,43,9,205,10.166666666666666,0.366966366966367,0.4205794205794206,0.2241092241092241,8,1.5,34.166666666666664,15.5,10.166666666666666,183.66666666666666,210.5,112.16666666666667
Club Brugge,18/19,GR,25,40.2,6,3377,363,1035,1660,706,65,3376,51,35,68.6,16,31.4,1840,9162,4791,100,71,10,98,64,2100,220,25,6,2117,2717,77.9,39775,14149,3,3.3,3.3,-0.3,35,172,33,11,223,8.5,0.30648504589872666,0.4915605567071365,0.20906129700917975,5.833333333333333,1.8333333333333333,37.166666666666664,16.666666666666668,8.5,172.5,276.6666666666667,117.66666666666667
Shakhtar,18/19,GR,20,49.2,6,3774,410,1221,1773,817,130,3774,66,33,50,33,50,2399,12707,6655,135,121,31,83,62,2613,212,20,6,2630,3167,83,44787,14900,8,6.2,4.3,1.8,57,124,49,6,214,11,0.3235294117647059,0.4697933227344992,0.21648118706942238,9.5,1,35.666666666666664,22.5,11,203.5,295.5,136.16666666666666
Galatasaray,18/19,GR,21,53.5,6,3641,320,1028,1799,841,98,3638,94,58,61.7,36,38.3,1718,10045,5426,100,69,15,92,46,2375,211,21,6,2394,3003,79.7,45179,15654,2,6.8,6.1,-4.8,52,177,35,5,212,15.666666666666666,0.28234001647898926,0.49409502883823125,0.23098049986267508,8.666666666666666,0.8333333333333334,35.333333333333336,16.666666666666668,15.666666666666666,171.33333333333334,299.8333333333333,140.16666666666666
Young Boys,18/19,GR,20,41.3,6,3226,355,983,1561,720,101,3224,66,35,53,31,47,1665,10214,5373,109,100,21,99,47,1924,178,20,6,1939,2538,76.4,35231,14480,1,4.2,4,-3.2,53,158,39,13,180,11,0.30471171729696217,0.4838809671419715,0.2231866088034718,8.833333333333334,2.1666666666666665,30,18.166666666666668,11,163.83333333333334,260.1666666666667,120
Red Star,18/19,GR,20,30.5,6,2781,476,1227,1158,423,54,2781,70,41,58.6,29,41.4,1520,7429,3466,63,63,11,80,60,1404,116,20,6,1409,2028,69.5,25148,10790,3,2.4,1.9,0.6,30,80,23,8,118,11.666666666666666,0.4412081984897519,0.41639697950377563,0.15210355987055016,5,1.3333333333333333,19.666666666666668,10.5,11.666666666666666,204.5,193,70.5
Hoffenheim,18/19,GR,25,45,6,3334,327,1058,1594,724,129,3333,86,62,72.1,24,27.9,1683,10428,5924,139,78,30,86,67,2130,257,25,6,2151,2713,79.3,40813,15283,7,8.5,6.5,-1.5,68,164,53,14,260,14.333333333333334,0.3173365326934613,0.47810437912417514,0.21715656868626274,11.333333333333334,2.3333333333333335,43.333333333333336,23.166666666666668,14.333333333333334,176.33333333333334,265.6666666666667,120.66666666666667
Loko Moscow,18/19,GR,19,45.8,6,3423,329,912,1674,871,111,3422,73,41,56.2,32,43.8,1551,9592,5102,103,81,30,96,74,1937,203,19,6,1958,2670,73.3,31569,13544,2,4.6,6.2,-2.6,59,169,33,3,207,12.166666666666666,0.26643295354951796,0.4890446976336547,0.2544551562956471,9.833333333333334,0.5,34.5,17.166666666666668,12.166666666666666,152,279,145.16666666666666
PSV Eindhoven,18/19,GR,18,31.8,6,2775,481,1102,1125,580,97,2775,71,38,53.5,33,46.5,1231,7455,3937,85,63,19,78,56,1440,142,18,6,1452,1993,72.9,27682,12527,5,5.5,5.6,-0.5,54,114,29,11,143,11.833333333333334,0.3971171171171171,0.40540540540540543,0.209009009009009,9,1.8333333333333333,23.833333333333332,14.166666666666666,11.833333333333334,183.66666666666666,187.5,96.66666666666667
Monaco,18/19,GR,29,45,6,3632,339,1098,1788,782,88,3631,76,36,47.4,40,52.6,2425,13279,7204,135,106,25,77,76,2430,239,29,6,2437,3024,80.6,43127,14600,1,3.2,3.6,-2.2,44,158,49,10,241,12.666666666666666,0.30231277533039647,0.4922907488986784,0.21530837004405287,7.333333333333333,1.6666666666666667,40.166666666666664,22.5,12.666666666666666,183,298,130.33333333333334
AEK Athens,18/19,GR,20,40.8,6,3133,429,1064,1611,498,55,3133,87,48,55.2,39,44.8,1737,9883,4799,79,58,14,76,81,1913,142,20,6,1920,2510,76.5,35757,13318,2,4.3,3.8,-2.3,31,123,23,6,142,14.5,0.3396105968720077,0.5142036386849664,0.15895308011490583,5.166666666666667,1,23.666666666666668,13.166666666666666,14.5,177.33333333333334,268.5,83
